date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,1,58,26,13,2
1/2/2017,1,48, ,20,2
1/3/2017,1,59, ,13,2
1/4/2017,1,61, ,22,1
1/5/2017,1,61, ,18,3
1/6/2017,1,68, ,6,1
1/7/2017,1,70, ,9,1
1/8/2017,1,94, ,9,2
1/9/2017,1,84, ,20,3
1/10/2017,1,79, ,21,6
1/11/2017,1,76, ,24,9
1/12/2017,1,88, ,7,1
1/13/2017,1,65, ,10,2
1/14/2017,1,52, ,13,1
1/15/2017,1,58, ,27,1
1/16/2017,1,75, ,24,2
1/17/2017,1,89, ,17,1
1/18/2017,1,87, ,15,4
1/19/2017,1,80, ,9, 
1/20/2017,1,70, ,6,1
1/21/2017,1,51, ,17,7
1/22/2017,1,55, ,27,3
1/23/2017,1,73, ,26,4
1/24/2017,1,77, ,21,5
1/25/2017,1,74, ,11, 
1/26/2017,1,57, ,6, 
1/27/2017,1,65, ,2,1
1/28/2017,1,39, ,16,4
1/29/2017,1,48, ,18,5
1/30/2017,1,67, ,14,1
1/31/2017,1,55, ,11, 
2/1/2017,1,51, ,18,1
2/2/2017,1,65, ,10,9
2/3/2017,1,69, ,12,2
2/4/2017,1,74, ,19,2
2/5/2017,1,72, ,19,4
2/6/2017,1,77, ,27,4
2/7/2017,1,78, ,22,6
2/8/2017,1,92, ,20,2
2/9/2017,1,88, ,13,3
2/10/2017,1,90, ,7,3
2/11/2017,1,85, ,14,1
2/12/2017,1,66, ,13, 
2/13/2017,1,51, ,11,3
2/14/2017,1,47, ,13,3
2/15/2017,1,44, ,13,4
2/16/2017,1,90, ,7,1
2/17/2017,1,48, ,7,2
2/18/2017,1,41, ,22,1
2/19/2017,1,67, ,22,3
2/20/2017,1,67, ,18,2
2/21/2017,1,66, ,21,4
2/22/2017,1,75, ,18,4
2/23/2017,1,75, ,10,4
2/24/2017,1,66, ,11,5
2/25/2017,1,87, ,19,3
2/26/2017,1,90, ,27,9
2/27/2017,1,107, ,27,12
2/28/2017,1,102, ,23,6
3/1/2017,1,137, ,14,9
3/2/2017,1,95, ,10,6
3/3/2017,1,57, ,5,2
3/4/2017,1,45, ,17,2
3/5/2017,1,53, ,17,3
3/6/2017,1,70, ,13,1
3/7/2017,1,63, ,23,3
3/8/2017,1,63, ,13, 
3/9/2017,1,65, ,7,1
3/10/2017,1,85, ,5, 
3/11/2017,1,116, ,11, 
3/12/2017,1,106, ,15, 
3/13/2017,1,96, ,14,2
3/14/2017,1,64, ,13,9
3/15/2017,1,51, ,14,11
3/16/2017,1,51, ,11,8
3/17/2017,1,67, ,9,5
3/18/2017,1,68, ,14,11
3/19/2017,1,49, ,12,6
3/20/2017,1,56, ,13,1
3/21/2017,1,65, ,22,2
3/22/2017,1,75, ,17,2
3/23/2017,1,78, ,5, 
3/24/2017,1,61, ,5,1
3/25/2017,1,59, ,14,3
3/26/2017,1,64, ,17,4
3/27/2017,1,69, ,13,1
3/28/2017,1,64, ,20,3
3/29/2017,1,76, ,26,3
3/30/2017,1,81, ,9,2
3/31/2017,1,75, ,4,1
4/1/2017,1,67, ,12,5
4/2/2017,1,57, ,12,2
4/3/2017,1,54, ,23,2
4/4/2017,1,81, ,20,6
4/5/2017,1,74, ,19,6
4/6/2017,1,73, ,5,1
4/7/2017,1,65, ,6,2
4/8/2017,1,70, ,12, 
4/9/2017,1,68, ,13,7
4/10/2017,1,56, ,10,3
4/11/2017,1,70, ,15,1
4/12/2017,1,103, ,13,3
4/13/2017,1,90, ,5,1
4/14/2017,1,63, ,4, 
4/15/2017,1,70, ,5,2
4/16/2017,1,76, ,6,2
4/17/2017,1,71, ,16,5
4/18/2017,1,64, ,15,1
4/19/2017,1,65, ,14,2
4/20/2017,1,67, ,19,6
4/21/2017,1,82, ,18,5
4/22/2017,1,95, ,12,3
4/23/2017,1,59, ,11,1
4/24/2017,1,58, ,11, 
4/25/2017,1,63, ,19,4
4/26/2017,1,76, ,14,7
4/27/2017,1,64, ,8,4
4/28/2017,1,69, ,6,1
4/29/2017,1,71, ,18,2
4/30/2017,1,75,23,13,4
5/1/2017,1,90,48,7,3
5/2/2017,1,79,47,10,2
5/3/2017,1,77,45,10,1
5/4/2017,1,83,41,6,1
5/5/2017,1,76,37,3, 
5/6/2017,1,74,39,13,2
5/7/2017,1,78,42,21,6
5/8/2017,1,81,62,27,4
5/9/2017,1,89,63,19,4
5/10/2017,1,89,36,15,1
5/11/2017,1,69,32, , 
5/12/2017,1, ,27, , 
5/13/2017,1, ,51,19,4
5/14/2017,1,65,52,17,8
5/15/2017,1,112,43,11,2
5/16/2017,1,70,55,13,3
5/17/2017,1,79,52,14,2
5/18/2017,1,79,27,5,1
5/19/2017,1,61,27,7,2
5/20/2017,1,54,31,13,14
5/21/2017,1,67,43,17,2
5/22/2017,1,76,34,12,8
5/23/2017,1,69,29,10,1
5/24/2017,1,64,26,12,1
5/25/2017,1,66,25,7,1
5/26/2017,1,50,33,7, 
5/27/2017,1,52,31,12,2
5/28/2017,1,55,26,13,1
5/29/2017,1,70,26,8, 
5/30/2017,1,61,22,8,6
5/31/2017,1,53,33,11,1
6/1/2017,1,57,25,7,1
6/2/2017,1,68,28,4, 
6/3/2017,1,61,26,11, 
6/4/2017,1,68,30,13, 
6/5/2017,1,67,30,14, 
6/6/2017,1,69,29,14, 
6/7/2017,1,67,38,14,1
6/8/2017,1,82,35,9, 
6/9/2017,1,76,32,2, 
6/10/2017,1,72,27,11, 
6/11/2017,1,60,27,9,1
6/12/2017,1,60,26,9, 
6/13/2017,1,75,37,12, 
6/14/2017,1,64,29,8, 
6/15/2017,1,70,18,6, 
6/16/2017,1,62,25,3,1
6/17/2017,1,67,33,9, 
6/18/2017,1,71,31,11, 
6/19/2017,1,67,18,9,1
6/20/2017,1,58,26,11,2
6/21/2017,1,58,28,7, 
6/22/2017,1,68,24,6, 
6/23/2017,1,58,24,3, 
6/24/2017,1,61,25,8, 
6/25/2017,1,70,29,8, 
6/26/2017,1,75,29,7, 
6/27/2017,1,78,26,11, 
6/28/2017,1,79,30,9, 
6/29/2017,1,73,36,5, 
6/30/2017,1,72,35,4, 
7/1/2017,1,81,43,14,1
7/2/2017,1,92,42,12,1
7/3/2017,1,89,43,16, 
7/4/2017,1,85,42,8, 
7/5/2017,1,56,31,10,2
7/6/2017,1,80, ,5,2
7/7/2017,1,76, ,2, 
7/8/2017,1,78,36,7, 
7/9/2017,1,77,31,9, 
7/10/2017,1,64,31,12, 
7/11/2017,1,58,33,9, 
7/12/2017,1,67,39,10, 
7/13/2017,1,66, ,7, 
7/14/2017,1,70, ,3, 
7/15/2017,1,77, ,18,1
7/16/2017,1,83, ,10,1
7/17/2017,1,80, ,9,1
7/18/2017,1,77, ,8, 
7/19/2017,1,63, ,8,1
7/20/2017,1,68, ,4,1
7/21/2017,1,59, ,1,1
7/22/2017,1,64, ,7,1
7/23/2017,1,73, ,9,1
7/24/2017,1,72, ,9, 
7/25/2017,1,74, ,12, 
7/26/2017,1,77, ,9, 
7/27/2017,1,80, ,5, 
7/28/2017,1,64, ,1, 
7/29/2017,1,45, ,8, 
7/30/2017,1,49, ,8, 
7/31/2017,1,63, ,8, 
8/1/2017,1,53, ,9, 
8/2/2017,1,65, ,7, 
8/3/2017,1,77, ,5, 
8/4/2017,1,59, ,2,1
8/5/2017,1,62, ,11, 
8/6/2017,1,70, ,9, 
8/7/2017,1,80, ,9, 
8/8/2017,1,69, ,10, 
8/9/2017,1,68, ,10, 
8/10/2017,1,67, ,5, 
8/11/2017,1,73, ,3, 
8/12/2017,1,79, ,10,1
8/13/2017,1,89, ,9, 
8/14/2017,1,82, ,9, 
8/15/2017,1,65, ,10,1
8/16/2017,1,69, ,12,1
8/17/2017,1,81, ,6,1
8/18/2017,1,75, ,9,2
8/19/2017,1,64, ,11,1
8/20/2017,1,64, ,10,1
8/21/2017,1,73, ,10,1
8/22/2017,1,67, ,10,1
8/23/2017,1,69, ,10,1
8/24/2017,1,70, ,10, 
8/25/2017,1,73, ,4, 
8/26/2017,1,67, ,10, 
8/27/2017,1,64, ,12,1
8/28/2017,1,66, ,12,1
8/29/2017,1,64, ,13,1
8/30/2017,1,65, ,12,1
8/31/2017,1,62, ,6, 
9/1/2017,1,66, ,4, 
9/2/2017,1,59, ,10, 
9/3/2017,1,71, ,11,1
9/4/2017,1,64, ,13, 
9/5/2017,1,62, ,11, 
9/6/2017,1,80, , , 
9/10/2017,1, , ,15, 
9/11/2017,1,58, ,16, 
9/12/2017,1,66, ,12, 
9/13/2017,1,77, ,11, 
9/14/2017,1,68, ,5, 
9/15/2017,1,53, ,4, 
9/16/2017,1,68, ,12, 
9/17/2017,1,67, ,12, 
9/18/2017,1,76, ,13, 
9/19/2017,1,91, ,5, 
9/20/2017,1,75, ,2, 
9/21/2017,1,71, ,1, 
9/22/2017,1,54, ,2, 
9/23/2017,1,42, ,12, 
9/24/2017,1,50, ,10, 
9/25/2017,1,58, ,9, 
9/26/2017,1,61, ,10, 
9/27/2017,1,60, ,12, 
9/28/2017,1,51, ,5, 
9/29/2017,1,60, ,2, 
9/30/2017,1,56, ,16,3
10/1/2017,1,53, ,16,2
10/2/2017,1,67, ,10, 
10/3/2017,1,61, ,7, 
10/4/2017,1,55, ,2, 
10/5/2017,1,50, ,4, 
10/6/2017,1,53, ,8, 
10/7/2017,1,58, ,12, 
10/8/2017,1,70, ,10, 
10/9/2017,1,53, ,12,1
10/10/2017,1,43, ,8, 
10/11/2017,1,44, ,7, 
10/12/2017,1,48, ,8, 
10/13/2017,1,56, ,4, 
10/14/2017,1,50, ,14, 
10/15/2017,1,53, ,14,2
10/16/2017,1,50, ,15,5
10/17/2017,1,53, ,26,3
10/18/2017,1,65, ,24,4
10/19/2017,1,103, ,8,1
10/20/2017,1,64, ,4, 
10/21/2017,1,54, ,11, 
10/22/2017,1,62, ,14,3
10/23/2017,1,71, ,14,2
10/24/2017,1,62, ,20,15
10/25/2017,1,69, ,21,24
10/26/2017,1,72, ,10,3
10/27/2017,1,80, ,7, 
10/28/2017,1,55, ,10,9
10/29/2017,1,60, ,13,9
10/30/2017,1,99, ,7,6
10/31/2017,1,55, ,8,1
11/1/2017,1,56, ,10,2
11/2/2017,1,47, ,5,2
11/3/2017,1,47, ,11,1
11/4/2017,1,51, ,12,12
11/5/2017,1,52, ,10,2
11/6/2017,1,57, ,9,1
11/7/2017,1,61, ,9,1
11/8/2017,1,58, ,12,5
11/9/2017,1,60, ,4,1
11/10/2017,1,52, ,9,36
11/11/2017,1,51, ,20,2
11/12/2017,1,83, ,24,7
11/13/2017,1,107, ,20,8
11/14/2017,1,109, ,15,2
11/15/2017,1,108, ,16,2
11/16/2017,1,107, ,10,4
11/17/2017,1,105, ,6,3
11/18/2017,1,98, ,3,3
11/19/2017,1,93, , ,2
11/20/2017,1,76, , ,4
11/21/2017,1,195, , , 
11/22/2017,1, , , , 
11/23/2017,1,48, , , 
11/24/2017,1,49, , ,4
11/25/2017,1,53, , ,7
11/26/2017,1,61, , ,14
11/27/2017,1,62, , ,3
11/28/2017,1,93, , ,5
11/29/2017,1,57, , , 
11/30/2017,1,53, , , 
12/1/2017,1,65, , ,1
12/2/2017,1,78, , ,4
12/3/2017,1,75, , ,4
12/4/2017,1,74, , ,2
12/5/2017,1,70, , ,1
12/6/2017,1,36, ,6,1
12/7/2017,1,44, ,3,17
12/8/2017,1,42, ,3,1
12/9/2017,1,57, ,9,3
12/10/2017,1,67, , ,3
12/11/2017,1,83, ,29,6
12/12/2017,1,95, ,18,5
12/13/2017,1,69, ,16,2
12/14/2017,1,50, ,10,1
12/15/2017,1,54, ,10,1
12/16/2017,1,55, ,28,4
12/17/2017,1,71, ,38,3
12/18/2017,1,80, ,34,4
12/19/2017,1,86, ,30,4
12/20/2017,1,97, ,39,5
12/21/2017,1,110, ,33,6
12/22/2017,1,97, ,9,1
12/23/2017,1,87, ,9,1
12/24/2017,1,70, ,13, 
12/25/2017,1,38, ,26,1
12/26/2017,1,54, ,22,1
12/27/2017,1,60, ,27,2
12/28/2017,1,82, ,16,1
12/29/2017,1,82, ,9, 
12/30/2017,1,73, , , 
12/31/2017,1, , ,10,3
1/1/2018,1,55, ,11,1
