date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,2,77,30,10,2
1/2/2017,2,77,24,14, 
1/3/2017,2,77,22,10,1
1/4/2017,2,77,33,20,1
1/5/2017,2,78,39,16,1
1/6/2017,2,77,51,7,3
1/7/2017,2,76,138,6,1
1/8/2017,2,76,90,11,4
1/9/2017,2,76,69,14, 
1/10/2017,2,77,55,19, 
1/11/2017,2,76,58,18,1
1/12/2017,2,78, ,8, 
1/13/2017,2,76, ,9, 
1/14/2017,2,77,43,16, 
1/15/2017,2,77,43,22,1
1/16/2017,2,77,56,22, 
1/17/2017,2,76,53,11, 
1/18/2017,2,78,59,16, 
1/19/2017,2,78,48,11,1
1/20/2017,2,78,25,5, 
1/21/2017,2,78,16,15, 
1/22/2017,2,78,16,22,1
1/23/2017,2, ,29,19,1
1/24/2017,2,76,59,11, 
1/25/2017,2,77,42,8, 
1/26/2017,2,77,29,2, 
1/27/2017,2,76,30,1, 
1/28/2017,2,77,24,14, 
1/29/2017,2,77, ,12, 
1/30/2017,2,77, ,8,1
1/31/2017,2,76,16,10, 
2/1/2017,2,78,29,15, 
2/2/2017,2,78,19,11, 
2/3/2017,2,77,28,12,1
2/4/2017,2,76,25,16, 
2/5/2017,2,78,32,16,1
2/6/2017,2,76,51,21,1
2/7/2017,2,77,65,13,1
2/8/2017,2,78,46,14, 
2/9/2017,2,77,62,13, 
2/10/2017,2,79,51,6, 
2/11/2017,2,78,29,7, 
2/12/2017,2, ,24,9, 
2/13/2017,2,77,23,6, 
2/14/2017,2,77,18,7, 
2/15/2017,2,77,22,10, 
2/16/2017,2,76,20,7, 
2/17/2017,2,76,22,8, 
2/18/2017,2,77,42,22, 
2/19/2017,2,77,43,18, 
2/20/2017,2,77,33,17, 
2/21/2017,2,78,33,16, 
2/22/2017,2,78,37,15, 
2/23/2017,2,79,36,11, 
2/24/2017,2,77,44,11, 
2/25/2017,2,77,48,17, 
2/26/2017,2,76,48,18, 
2/27/2017,2,77,70,29,2
2/28/2017,2,76,179,17,1
3/1/2017,2,77,66,8, 
3/2/2017,2,77,34,4, 
3/3/2017,2, ,23,6, 
3/4/2017,2, ,22,12, 
3/5/2017,2,77,35,16, 
3/6/2017,2,77,26,9, 
3/7/2017,2,77,29,15, 
3/8/2017,2,76,38,7, 
3/9/2017,2,77,51,5, 
3/10/2017,2,77, , , 
3/11/2017,2, ,245,9, 
3/12/2017,2,84,79,9, 
3/13/2017,2,81,29,10,16
3/14/2017,2,80,25,5, 
3/15/2017,2,79,18,6, 
3/16/2017,2,79,31,8, 
3/17/2017,2, ,43,8, 
3/18/2017,2,80,24,4, 
3/19/2017,2,79,36,6,1
3/20/2017,2,78,38,8, 
3/21/2017,2,79,48,17, 
3/22/2017,2,79,46,12, 
3/23/2017,2, ,28,5, 
3/24/2017,2, ,22,5, 
3/25/2017,2, ,23,8, 
3/26/2017,2, ,29,12,1
3/27/2017,2,79,33,11, 
3/28/2017,2,78,42,17,1
3/29/2017,2,78,52,15, 
3/30/2017,2,79,49,8, 
3/31/2017,2,78,43,4,2
4/1/2017,2,78,23,5, 
4/2/2017,2,78,22,6, 
4/3/2017,2,79,30,17, 
4/4/2017,2,79,51,10, 
4/5/2017,2,78,45,10, 
