date, pm25, pm10, no2, so2,Air_quality_Code
1/1/2017,26,15,11,3,3
1/2/2017,34,16,11,3,3
1/3/2017,40,17,13,5,3
1/4/2017,27,23,11,4,3
1/5/2017,34,26,6,2,3
1/6/2017,26,28,6,2,3
1/7/2017,29,51,3,5,3
1/8/2017,28,51,7,5,3
1/9/2017,22,49,10,6,3
1/10/2017,31,30,14,4,3
1/11/2017,23,37,16,5,3
1/12/2017,24,25,9,5,3
1/13/2017,34,22,7,4,3
1/14/2017,50,21,9,2,3
1/15/2017,97,39,12,2,3
1/16/2017,61,65,11,4,3
1/17/2017,72,59,11,1,3
1/18/2017,91,50,11,2,3
1/19/2017,88,36,10,3,3
1/20/2017,77,27,9,1,3
1/21/2017,53,27,12,1,3
1/22/2017,55,46,19,4,3
1/23/2017,79,56,9,2,3
1/24/2017,50,56,10,4,3
1/25/2017,71,28,6,2,3
1/26/2017,50,18,3,1,3
1/27/2017,32,13,2,1,3
1/28/2017,34,20,11,2,3
1/29/2017,46,28,11,2,3
1/30/2017,63,18,9,2,3
1/31/2017,48,17,7,2,3
2/1/2017,41,28,13,1,3
2/2/2017,59,31,10,2,3
2/3/2017,69,32,10,1,3
2/4/2017,71,43,18,3,3
2/5/2017,73,41,15,3,3
2/6/2017,89,56,8,1,3
2/7/2017,70,78,9,3,3
2/8/2017,105,56,14, ,3
2/9/2017,120,60,7,3,3
2/10/2017,83,58,7,1,3
2/11/2017,84,24,8, ,3
2/12/2017,47,19,6,2,3
2/13/2017,50,17,4,2,3
2/14/2017,34,14,5, ,3
2/15/2017,43,13,4, ,3
2/16/2017,37,21,8,2,3
2/17/2017,53,25,6,1,3
2/18/2017,58,29,10,1,3
2/19/2017,46,36,14,1,3
2/20/2017,48,39,12,1,3
2/21/2017,73,48,14,3,3
2/22/2017,101,36,11,1,3
2/23/2017,67,51,11,1,3
2/24/2017,83,47,5,1,3
2/25/2017,64,58,13,1,3
2/26/2017,83,65,12,1,3
2/27/2017,81,75,12,3,3
2/28/2017,75,75,6,1,3
3/1/2017,85,62,10,4,3
3/2/2017,87,42,6,1,3
3/3/2017,67,22,4,4,3
3/4/2017,46,29,13,2,3
3/5/2017,59,29,7,3,3
3/6/2017,46,32,6,3,3
3/7/2017,68,35,8,3,3
3/8/2017,64,49,6,1,3
3/9/2017,52,56,4,2,3
3/10/2017,79,134,4,4,3
3/11/2017,114,170,4, ,3
3/12/2017,106,77,3,1,3
3/13/2017,99,28,6,2,3
3/14/2017,46,26,5,2,3
3/15/2017,42,23,6,1,3
3/16/2017,49,39,8,1,3
3/17/2017,69,38,5, ,3
3/18/2017,57,29,5,1,3
3/19/2017,41,27,5,2,3
3/20/2017,44,44,7,4,3
3/21/2017,67,52,12,3,3
3/22/2017,75,70,8,1,3
3/23/2017,65,32,4, ,3
3/24/2017,64,28,5,1,3
3/25/2017,65,33,8,1,3
3/26/2017,62,36,9,2,3
3/27/2017,65,41,10,2,3
3/28/2017,67,54,9,4,3
3/29/2017,66,57,6,1,3
3/30/2017,59,50,7,1,3
3/31/2017,62,48,4,1,3
4/1/2017,63,26,7,1,3
