date, pm25, pm10, no2, so2,Air_quality_Code
1/1/2017,42, ,3,1,4
1/2/2017,37, ,5,1,4
1/3/2017,38, ,5,2,4
1/4/2017,37, ,6, ,4
1/5/2017,39, ,7,4,4
1/6/2017,54, ,4,2,4
1/7/2017,51, ,4,1,4
1/8/2017,77, ,4,2,4
1/9/2017,78, ,7,1,4
1/10/2017,62, ,11,2,4
1/11/2017,59, ,8,2,4
1/12/2017,61, ,3,1,4
1/13/2017,51, ,7,1,4
1/14/2017,47, ,8,1,4
1/15/2017,47, ,10,1,4
1/16/2017,57, ,9,2,4
1/17/2017,66, ,7,2,4
1/18/2017,73, ,5,1,4
1/19/2017,73, ,5,2,4
1/20/2017,58, ,3,1,4
1/21/2017,33, ,8,2,4
1/22/2017,46, ,12,2,4
1/23/2017,55, ,5,1,4
1/24/2017,46, ,6,2,4
1/25/2017,67, ,3,1,4
1/26/2017,44, ,2, ,4
1/27/2017,39, ,2,1,4
1/28/2017,39, ,6,1,4
1/29/2017,37, ,6,1,4
1/30/2017,51, ,4,1,4
1/31/2017,31, ,5,1,4
2/1/2017,35, ,6,2,4
2/2/2017,44, ,6,4,4
2/3/2017,48, ,5,2,4
2/4/2017,56, ,10,3,4
2/5/2017,56, ,7,4,4
2/6/2017,65, ,3,2,4
2/7/2017,57, ,5,4,4
2/8/2017,103, ,6,2,4
2/9/2017,69, ,7,2,4
2/10/2017,79, ,4,4,4
2/11/2017,86, ,4,2,4
2/12/2017,50, ,4,1,4
2/13/2017,36, ,4,1,4
2/14/2017,36, ,3,1,4
2/15/2017,42, ,4,1,4
2/16/2017,32, ,2,2,4
2/17/2017,46, ,2,2,4
2/18/2017,41, ,6,2,4
2/19/2017,51, ,7,3,4
2/20/2017,51, ,6,2,4
2/21/2017,54, ,12,5,4
2/22/2017,66, ,5,2,4
2/23/2017,61, ,5,2,4
2/24/2017,57, ,4,3,4
2/25/2017,70, ,11,3,4
2/26/2017,79, ,13,1,4
2/27/2017,86, ,9,1,4
2/28/2017,81, ,8,1,4
3/1/2017,129, ,4, ,4
3/2/2017,83, ,2,1,4
3/3/2017,51, ,2,1,4
3/4/2017,32, ,9,1,4
3/5/2017,42, ,6,1,4
3/6/2017,46, ,6,1,4
3/7/2017,61, ,6, ,4
3/8/2017,52, ,3, ,4
3/9/2017,43, ,3, ,4
3/10/2017,77, , , ,4
3/11/2017, , ,3, ,4
3/12/2017,133, ,3, ,4
3/13/2017,86, ,3,1,4
3/14/2017,45, ,3,1,4
3/15/2017,42, ,3, ,4
3/16/2017,35, ,4, ,4
3/17/2017,52, ,9, ,4
3/18/2017,59, ,5, ,4
3/19/2017,40, ,3,1,4
3/20/2017,48, ,3,1,4
3/21/2017,56, ,9,4,4
3/22/2017,66, ,8,2,4
3/23/2017,65, ,3,1,4
3/24/2017,52, ,2,1,4
3/25/2017,47, ,4,2,4
3/26/2017,52, ,6,2,4
3/27/2017,54, ,3, ,4
3/28/2017,53, ,9, ,4
3/29/2017,63, ,9,1,4
3/30/2017,64, ,3,1,4
3/31/2017,54, ,3, ,4
4/1/2017,57, ,3, ,4
4/2/2017,36, ,3,1,4
4/3/2017,47, ,11, ,4
4/4/2017,57, ,4,2,4
4/5/2017,58, ,3, ,4
4/6/2017,58, ,2, ,4
4/7/2017,57, ,2,1,4
4/8/2017,57, ,3, ,4
4/9/2017,55, ,5, ,4
4/10/2017,44, ,8,1,4
4/11/2017,58, ,5,1,4
4/12/2017,94, ,4, ,4
4/13/2017,88, ,2, ,4
4/14/2017,58, ,2, ,4
4/15/2017,65, ,2, ,4
4/16/2017,68, ,3, ,4
4/17/2017,55, ,3, ,4
4/18/2017,41, ,6, ,4
4/19/2017,51, ,10,1,4
4/20/2017,46, ,6,2,4
4/21/2017,61, ,4, ,4
4/22/2017,76, ,4, ,4
4/23/2017,54, ,3, ,4
4/24/2017,39, ,6,1,4
4/25/2017,51, ,10,1,4
4/26/2017,61, ,3,2,4
4/27/2017,52, ,2,1,4
4/28/2017,45, ,2,1,4
4/29/2017,60, ,10,2,4
4/30/2017,64, ,3,1,4
5/1/2017,79, ,2, ,4
5/2/2017,76, ,3,2,4
5/3/2017,65, ,3, ,4
