Date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,4,42, ,3,1
1/2/2017,4,37, ,5,1
1/3/2017,4,38, ,5,2
1/4/2017,4,37, ,6, 
1/5/2017,4,39, ,7,4
1/6/2017,4,54, ,4,2
1/7/2017,4,51, ,4,1
1/8/2017,4,77, ,4,2
1/9/2017,4,78, ,7,1
1/10/2017,4,62, ,11,2
1/11/2017,4,59, ,8,2
1/12/2017,4,61, ,3,1
1/13/2017,4,51, ,7,1
1/14/2017,4,47, ,8,1
1/15/2017,4,47, ,10,1
1/16/2017,4,57, ,9,2
1/17/2017,4,66, ,7,2
1/18/2017,4,73, ,5,1
1/19/2017,4,73, ,5,2
1/20/2017,4,58, ,3,1
1/21/2017,4,33, ,8,2
1/22/2017,4,46, ,12,2
1/23/2017,4,55, ,5,1
1/24/2017,4,46, ,6,2
1/25/2017,4,67, ,3,1
1/26/2017,4,44, ,2, 
1/27/2017,4,39, ,2,1
1/28/2017,4,39, ,6,1
1/29/2017,4,37, ,6,1
1/30/2017,4,51, ,4,1
1/31/2017,4,31, ,5,1
2/1/2017,4,35, ,6,2
2/2/2017,4,44, ,6,4
2/3/2017,4,48, ,5,2
2/4/2017,4,56, ,10,3
2/5/2017,4,56, ,7,4
2/6/2017,4,65, ,3,2
2/7/2017,4,57, ,5,4
2/8/2017,4,103, ,6,2
2/9/2017,4,69, ,7,2
2/10/2017,4,79, ,4,4
2/11/2017,4,86, ,4,2
2/12/2017,4,50, ,4,1
2/13/2017,4,36, ,4,1
2/14/2017,4,36, ,3,1
2/15/2017,4,42, ,4,1
2/16/2017,4,32, ,2,2
2/17/2017,4,46, ,2,2
2/18/2017,4,41, ,6,2
2/19/2017,4,51, ,7,3
2/20/2017,4,51, ,6,2
2/21/2017,4,54, ,12,5
2/22/2017,4,66, ,5,2
2/23/2017,4,61, ,5,2
2/24/2017,4,57, ,4,3
2/25/2017,4,70, ,11,3
2/26/2017,4,79, ,13,1
2/27/2017,4,86, ,9,1
2/28/2017,4,81, ,8,1
3/1/2017,4,129, ,4, 
3/2/2017,4,83, ,2,1
3/3/2017,4,51, ,2,1
3/4/2017,4,32, ,9,1
3/5/2017,4,42, ,6,1
3/6/2017,4,46, ,6,1
3/7/2017,4,61, ,6, 
3/8/2017,4,52, ,3, 
3/9/2017,4,43, ,3, 
3/10/2017,4,77, , , 
3/11/2017,4, , ,3, 
3/12/2017,4,133, ,3, 
3/13/2017,4,86, ,3,1
3/14/2017,4,45, ,3,1
3/15/2017,4,42, ,3, 
3/16/2017,4,35, ,4, 
3/17/2017,4,52, ,9, 
3/18/2017,4,59, ,5, 
3/19/2017,4,40, ,3,1
3/20/2017,4,48, ,3,1
3/21/2017,4,56, ,9,4
3/22/2017,4,66, ,8,2
3/23/2017,4,65, ,3,1
3/24/2017,4,52, ,2,1
3/25/2017,4,47, ,4,2
3/26/2017,4,52, ,6,2
3/27/2017,4,54, ,3, 
3/28/2017,4,53, ,9, 
3/29/2017,4,63, ,9,1
3/30/2017,4,64, ,3,1
3/31/2017,4,54, ,3, 
4/1/2017,4,57, ,3, 
4/2/2017,4,36, ,3,1
4/3/2017,4,47, ,11, 
4/4/2017,4,57, ,4,2
4/5/2017,4,58, ,3, 
4/6/2017,4,58, ,2, 
4/7/2017,4,57, ,2,1
4/8/2017,4,57, ,3, 
4/9/2017,4,55, ,5, 
4/10/2017,4,44, ,8,1
4/11/2017,4,58, ,5,1
4/12/2017,4,94, ,4, 
4/13/2017,4,88, ,2, 
4/14/2017,4,58, ,2, 
4/15/2017,4,65, ,2, 
4/16/2017,4,68, ,3, 
4/17/2017,4,55, ,3, 
4/18/2017,4,41, ,6, 
4/19/2017,4,51, ,10,1
4/20/2017,4,46, ,6,2
4/21/2017,4,61, ,4, 
4/22/2017,4,76, ,4, 
4/23/2017,4,54, ,3, 
4/24/2017,4,39, ,6,1
4/25/2017,4,51, ,10,1
4/26/2017,4,61, ,3,2
4/27/2017,4,52, ,2,1
4/28/2017,4,45, ,2,1
4/29/2017,4,60, ,10,2
4/30/2017,4,64, ,3,1
5/1/2017,4,79, ,2, 
5/2/2017,4,76, ,3,2
5/3/2017,4,65, ,3, 
5/4/2017,4,68, ,2, 
5/5/2017,4,70, ,1, 
5/6/2017,4,67, ,4,2
5/7/2017,4,75, ,7, 
5/8/2017,4,50, ,13, 
5/9/2017,4,55, ,8,1
5/10/2017,4,70, ,6, 
5/11/2017,4,55, ,2, 
5/12/2017,4,53, ,3,1
5/13/2017,4,54, ,7,1
5/14/2017,4,69, ,5,1
5/15/2017,4,85, ,3,1
5/16/2017,4,65, ,6,2
5/17/2017,4,78, ,9,1
5/18/2017,4,47, ,5, 
5/19/2017,4,49, ,1, 
5/20/2017,4,37, ,3, 
5/21/2017,4,33, ,3, 
5/22/2017,4,50, ,3, 
5/23/2017,4,53, ,2,1
5/24/2017,4,48, ,4, 
5/25/2017,4,50, ,2,1
5/26/2017,4,44, ,3,1
5/27/2017,4,48, ,4, 
5/28/2017,4,48, ,8, 
5/29/2017,4,51, ,5, 
5/30/2017,4,40, ,3, 
5/31/2017,4,30, ,3, 
6/1/2017,4,39, ,1, 
6/2/2017,4,52, ,2, 
6/3/2017,4,58, ,5, 
6/4/2017,4,59, ,4, 
6/5/2017,4,55, ,5,2
6/6/2017,4,52, ,6, 
6/7/2017,4,51, ,7, 
6/8/2017,4,69, ,5, 
6/9/2017,4,69, ,1, 
6/10/2017,4,66, ,3, 
6/11/2017,4,47, ,2, 
6/12/2017,4,49, ,4, 
6/13/2017,4,48, ,6, 
6/14/2017,4,51, ,3, 
6/15/2017,4,56, ,3, 
6/16/2017,4,48, ,2, 
6/17/2017,4,58, ,3, 
6/18/2017,4,62, ,5, 
6/19/2017,4,55, ,2, 
6/20/2017,4,46, ,2, 
6/21/2017,4,45, ,2, 
6/22/2017,4,62, ,2, 
6/23/2017,4,44, ,2, 
6/24/2017,4,46, ,2, 
6/25/2017,4,55, ,3, 
6/26/2017,4,68, ,4, 
6/27/2017,4,68, ,5,1
6/28/2017,4,67, ,3, 
6/29/2017,4,58, ,3, 
6/30/2017,4,64, ,2, 
7/1/2017,4,80, ,4,1
7/2/2017,4,72, ,7,3
7/3/2017,4,67, ,4, 
7/4/2017,4,69, ,3, 
7/5/2017,4,65, ,2, 
7/6/2017,4,56, ,1, 
7/7/2017,4,66, ,1, 
7/8/2017,4,65, ,3, 
7/9/2017,4,63, ,7, 
7/10/2017,4,52, ,6, 
7/11/2017,4,51, ,2, 
7/12/2017,4,63, ,4,1
7/13/2017,4,64, ,2, 
7/14/2017,4,59, ,2, 
7/15/2017,4,72, ,6,5
7/16/2017,4,63, ,6, 
7/17/2017,4,71, ,2,1
7/18/2017,4,64, ,2, 
7/19/2017,4,60, ,3, 
7/20/2017,4,49, ,1, 
7/21/2017,4,53, ,1,1
7/22/2017,4,64, ,2, 
7/23/2017,4,65, ,3, 
7/24/2017,4,69, ,3, 
7/25/2017,4,69, ,5, 
7/26/2017,4,67, ,4, 
7/27/2017,4,70, ,1, 
7/28/2017,4,51, ,1, 
7/29/2017,4,32, ,2, 
7/30/2017,4,36, ,3, 
7/31/2017,4,49, ,2, 
8/1/2017,4,54, ,4, 
8/2/2017,4,61, ,3, 
8/3/2017,4,66, ,1, 
8/4/2017,4,51, ,3, 
8/5/2017,4,51, ,5, 
8/6/2017,4,67, ,5, 
8/7/2017,4,72, ,3, 
8/8/2017,4,62, ,3, 
8/9/2017,4,62, ,3, 
8/10/2017,4,60, ,2, 
8/11/2017,4,74, ,1, 
8/12/2017,4,72, ,3, 
8/13/2017,4,80, ,3, 
8/14/2017,4,76, ,2, 
8/15/2017,4,62, ,2, 
8/16/2017,4,59, ,4, 
8/17/2017,4,77, ,2, 
8/18/2017,4,67, ,3, 
8/19/2017,4,52, ,5, 
8/20/2017,4,54, ,3, 
8/21/2017,4,64, ,2, 
8/22/2017,4,54, ,2, 
8/23/2017,4,30, ,2, 
8/24/2017,4,66, ,4, 
8/25/2017,4,57, ,3, 
8/26/2017,4,57, ,3,2
8/27/2017,4,50, ,3, 
8/28/2017,4,51, ,2, 
8/29/2017,4,49, ,12, 
8/30/2017,4,80, ,4, 
8/31/2017,4,73, ,1, 
9/1/2017,4,58, ,2, 
9/2/2017,4,56, ,7, 
9/3/2017,4,75, ,2, 
9/4/2017,4,54, ,2, 
9/5/2017,4,52, ,2, 
9/6/2017,4,56, , , 
9/10/2017,4, , ,8, 
9/11/2017,4,48, ,9, 
9/12/2017,4,56, ,7, 
9/13/2017,4,62, ,5, 
9/14/2017,4,57, ,1, 
9/15/2017,4,51, ,1,1
9/16/2017,4,53, ,2, 
9/17/2017,4,60, ,4, 
9/18/2017,4,69, ,3, 
9/19/2017,4,85, ,1, 
9/20/2017,4,68, ,2,1
9/21/2017,4,66, ,1, 
9/22/2017,4,48, ,1, 
9/23/2017,4,30, ,3,2
9/24/2017,4,36, ,3, 
9/25/2017,4,40, ,4,1
9/26/2017,4,45, ,3, 
9/27/2017,4,40, ,3, 
9/28/2017,4,42, ,1, 
9/29/2017,4,49, ,1, 
9/30/2017,4,51, ,5, 
10/1/2017,4,41, ,10,1
10/2/2017,4,49, ,3, 
10/3/2017,4,46, ,2, 
10/4/2017,4,46, ,1,1
10/5/2017,4,43, ,2, 
10/6/2017,4,48, , , 
10/7/2017,4, , ,3, 
10/8/2017,4,100, ,5, 
10/9/2017,4,33, ,6, 
10/10/2017,4,34, ,5, 
10/11/2017,4,34, ,4, 
10/12/2017,4,33, ,3, 
10/13/2017,4,41, ,2, 
10/14/2017,4,40, ,6, 
10/15/2017,4,40, ,4, 
10/16/2017,4,44, ,8, 
10/17/2017,4,42, ,11,1
10/18/2017,4,51, ,11,2
10/19/2017,4,73, ,3, 
10/20/2017,4,60, ,2,2
10/21/2017,4,56, ,3, 
10/22/2017,4,50, ,5,1
10/23/2017,4,50, ,4, 
10/24/2017,4,48, ,7, 
10/25/2017,4,60, ,10, 
10/26/2017,4,56, ,6, 
10/27/2017,4,68, ,2, 
10/28/2017,4,46, ,3, 
10/29/2017,4,46, ,5, 
10/30/2017,4,52, ,4, 
10/31/2017,4,48, ,3, 
11/1/2017,4,34, ,4,1
11/2/2017,4,31, ,2,1
11/3/2017,4,29, ,2, 
11/4/2017,4,39, ,3, 
11/5/2017,4,40, ,4,1
11/6/2017,4,43, ,5, 
11/7/2017,4,48, ,6,1
11/8/2017,4,55, ,4, 
11/9/2017,4,43, ,3, 
11/10/2017,4,41, ,3, 
11/11/2017,4,41, ,10, 
11/12/2017,4,70, ,12,1
11/13/2017,4,111, ,7,3
11/14/2017,4,87, ,8,1
11/15/2017,4,90, ,14,1
11/16/2017,4,104, ,9,2
11/17/2017,4,98, ,7,1
11/18/2017,4,96, ,4, 
11/19/2017,4,81, ,3, 
11/20/2017,4,57, ,4, 
11/21/2017,4,38, , , 
11/22/2017,4, , ,8, 
11/23/2017,4,43, ,6, 
11/24/2017,4,28, ,5,1
11/25/2017,4,39, ,4, 
11/26/2017,4,41, ,3, 
11/27/2017,4,49, ,10,1
11/28/2017,4,65, ,7,1
11/29/2017,4,43, ,9, 
11/30/2017,4,28, ,8,1
12/1/2017,4,62, ,3,1
12/2/2017,4,75, ,9,1
12/3/2017,4,59, ,12,2
12/4/2017,4,47, ,8,1
12/5/2017,4,65, ,4, 
12/6/2017,4,28, ,5, 
12/7/2017,4,27, ,4, 
12/8/2017,4,33, ,4,1
12/9/2017,4,41, ,10,2
12/10/2017,4,62, ,20,1
12/11/2017,4,66, ,19,2
12/12/2017,4,71, ,7, 
12/13/2017,4,67, ,5, 
12/14/2017,4,37, ,3, 
12/15/2017,4,35, ,4, 
12/16/2017,4,46, ,9, 
12/17/2017,4,61, ,28,1
12/18/2017,4,49, ,27,2
12/19/2017,4,72, ,21,2
12/20/2017,4,84, ,26,4
12/21/2017,4,82, ,9,1
12/22/2017,4,75, ,5,2
12/23/2017,4,81, ,5, 
12/24/2017,4,66, ,2, 
12/25/2017,4,12, ,7,4
12/26/2017,4, , ,4,3
12/27/2017,4,58, ,11,1
12/28/2017,4,63, ,11,1
12/29/2017,4,80, ,4,1
12/30/2017,4,63, , , 
12/31/2017,4, , ,4, 
1/1/2018,4,25, ,4, 
1/2/2018,4,36, ,5, 
1/3/2018,4,52, ,4, 
1/4/2018,4,82, ,2, 
1/5/2018,4,96, ,2, 
1/6/2018,4,36, ,7, 
1/7/2018,4,56, ,8, 
1/8/2018,4,68, ,8, 
1/9/2018,4,40, ,6, 
1/10/2018,4,46, ,5, 
1/11/2018,4,49, ,5,1
1/12/2018,4,103, ,5,1
1/13/2018,4,97, ,4, 
1/14/2018,4,77, ,3, 
1/15/2018,4,39, ,3, 
1/16/2018,4,41, ,3, 
1/17/2018,4,38, ,3, 
1/18/2018,4,75, ,1, 
1/19/2018,4,35, ,3, 
1/20/2018,4,40, ,5, 
1/21/2018,4,49, ,3, 
1/22/2018,4,111, ,4, 
1/23/2018,4,75, ,4, 
1/24/2018,4,44, ,3, 
