date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,5,60,9,24, 
1/2/2017,5,53,12,31, 
1/3/2017,5,56,11,33,1
1/4/2017,5,55,20,40,1
1/5/2017,5,74,45,24,2
1/6/2017,5,66,43,9,1
1/7/2017,5,81,53,10,2
1/8/2017,5,59,67,14, 
1/9/2017,5,81,49,38,1
1/10/2017,5,73,42,36,1
1/11/2017,5,78,56,35,3
1/12/2017,5,75,16,15, 
1/13/2017,5,44,17,15,1
1/14/2017,5,53,17,32, 
1/15/2017,5,62,16,31,3
1/16/2017,5,69,55,33,1
1/17/2017,5,85,67,31,1
1/18/2017,5,94,45,35,3
1/19/2017,5,95,25,22,1
1/20/2017,5,67,19,16,1
1/21/2017,5,47,11,34,2
1/22/2017,5,68,19,44,2
1/23/2017,5,78,32,29,1
1/24/2017,5,56,46,20,1
1/25/2017,5,69, ,18, 
1/26/2017,5,38, ,6, 
1/27/2017,5,43, ,5, 
1/28/2017,5,34, ,30, 
1/29/2017,5,60, ,32, 
1/30/2017,5,61,10,37, 
1/31/2017,5,73,17,18,1
2/1/2017,5,46,15,37,3
2/2/2017,5,60,16,33,2
2/3/2017,5,75,20,24, 
2/4/2017,5,66,26,36,4
2/5/2017,5,72,22,35,3
2/6/2017,5,87,42,35,1
2/7/2017,5,77,71,30, 
2/8/2017,5,95,105,35,2
2/9/2017,5,131,54,31,2
2/10/2017,5,91,55,14,2
2/11/2017,5,94,17,30, 
2/12/2017,5,60,17,32, 
2/13/2017,5,60,8,24, 
2/14/2017,5,48,11,22,1
2/15/2017,5,46,10,28, 
2/16/2017,5,47,16,23,2
2/17/2017,5,61,16,19,1
2/18/2017,5,59,22,39,1
2/19/2017,5,60,24,32,3
2/20/2017,5,57,25,44,6
2/21/2017,5,74,29,40,7
2/22/2017,5,89,29,25,5
2/23/2017,5,67,32,28,3
2/24/2017,5,77,44,22,2
2/25/2017,5,79,44,37,3
2/26/2017,5,88,44,39,2
2/27/2017,5,79,49,36,1
2/28/2017,5,79,98,33, 
3/1/2017,5,138,56,15, 
3/2/2017,5,85,18,8, 
3/3/2017,5,42,10,10, 
3/4/2017,5,35,16,25,5
3/5/2017,5,52,16,34,2
3/6/2017,5,63,30,32,4
3/7/2017,5,82,17,29,2
3/8/2017,5,65,37,43,2
3/9/2017,5,74,57,21,2
3/10/2017,5,84,73,13, 
3/11/2017,5,87,116,27, 
3/12/2017,5,125,27,9,1
3/13/2017,5,45,19,12, 
3/14/2017,5,44,14,29, 
3/15/2017,5,45,10,15, 
3/16/2017,5,36,25,21,1
3/17/2017,5,64,27,26,1
3/18/2017,5,63,16,18, 
3/19/2017,5,45,25,13, 
3/20/2017,5,46,26,21, 
3/21/2017,5,63,38,36,3
3/22/2017,5,81,41,31,4
3/23/2017,5,86,26,17,3
3/24/2017,5,62,19,15,3
3/25/2017,5,56,25,26,1
3/26/2017,5,67,27,26,1
3/27/2017,5,76,23,24, 
3/28/2017,5,75,34,34,4
3/29/2017,5,84,49,32,2
3/30/2017,5,87,31,21, 
3/31/2017,5,73,9,12, 
4/1/2017,5,58,17,17, 
4/2/2017,5,55,25,12, 
4/3/2017,5,59,28,30,3
4/4/2017,5,80,63,32, 
4/5/2017,5,72,38,34,5
4/6/2017,5,78,21,6,1
4/7/2017,5,64,19,9, 
4/8/2017,5,64,18,12,1
4/9/2017,5,62,23,29,4
4/10/2017,5,71,28,28,9
4/11/2017,5,82,108,27, 
4/12/2017,5,126,58,24,1
4/13/2017,5,102,23,8, 
4/14/2017,5,72,24,9, 
4/15/2017,5,76,27,20,1
4/16/2017,5,84,24,21,7
4/17/2017,5,79,22,27,3
4/18/2017,5,75,27,30,3
4/19/2017,5,81,23,23,6
4/20/2017,5,69,37,31,2
4/21/2017,5,71,68,28,2
4/22/2017,5,93,31,14,2
4/23/2017,5,68,19,10, 
4/24/2017,5,58,28,28,3
4/25/2017,5,68,31,37,8
4/26/2017,5,80,32,24,2
4/27/2017,5,78,19,14,1
4/28/2017,5,66,33,13,2
4/29/2017,5,72,48,30,10
4/30/2017,5,93,46,27,4
5/1/2017,5,87,47,11,1
5/2/2017,5,83,34,16,1
5/3/2017,5,79,39,10,2
5/4/2017,5,77,30,7,1
5/5/2017,5,76,29,4, 
5/6/2017,5,77,27,20,1
5/7/2017,5,77,41,35,3
5/8/2017,5,73,44,41,8
5/9/2017,5,85,59,42,6
5/10/2017,5,91,17,11,2
5/11/2017,5,54,22,11,2
5/12/2017,5,71,20,11,2
5/13/2017,5,69,30,30,3
5/14/2017,5,82,38,16,1
5/15/2017,5,95,30,19,1
5/16/2017,5,74,27,20,4
5/17/2017,5,68,24,19,3
5/18/2017,5,59,18,10,1
5/19/2017,5,52,13,3,1
5/20/2017,5,49,18,6,1
5/21/2017,5,55,21,29,3
5/22/2017,5,64,23,7,1
5/23/2017,5,60,17,13, 
5/24/2017,5,61,23,21,2
5/25/2017,5,70,11,7,1
5/26/2017,5,55,17,21,2
5/27/2017,5,62,20,18,2
5/28/2017,5,58,23,26,2
5/29/2017,5,66,14,12,1
5/30/2017,5,54,11,9,1
5/31/2017,5,50,15,9,1
6/1/2017,5,58,19,5, 
6/2/2017,5,64,19,8,1
6/3/2017,5,67,23,17,2
6/4/2017,5,72,21,14,1
6/5/2017,5,74,18,15,1
6/6/2017,5,61,22,18,3
6/7/2017,5,68,27,15,4
6/8/2017,5,71,31,18,6
6/9/2017,5,71,23,2,4
6/10/2017,5,72,17,7,3
6/11/2017,5,56,24,8,1
6/12/2017,5,66,21,10,1
6/13/2017,5,61,26,17,1
6/14/2017,5,65,29,12,1
6/15/2017,5,66,25,7, 
6/16/2017,5,64,19,4, 
6/17/2017,5,70,19,13,1
6/18/2017,5,68,24,14,1
6/19/2017,5,66,17,5,1
6/20/2017,5,53,17,5,1
6/21/2017,5,52,16,9, 
6/22/2017,5,59,12,6, 
6/23/2017,5,54,13,5, 
6/24/2017,5,60,17,9, 
6/25/2017,5,64,20,16, 
6/26/2017,5,73,21,10, 
6/27/2017,5,78,21,9, 
6/28/2017,5,74,16,12, 
6/29/2017,5,63,23,7, 
6/30/2017,5,78,26,6, 
7/1/2017,5,84,30,13, 
7/2/2017,5,90,32,22, 
7/3/2017,5,71,38,22,1
7/4/2017,5,77,29,8, 
7/5/2017,5,71,22,9, 
7/6/2017,5,63,23,4, 
7/7/2017,5,66,26,3, 
7/8/2017,5,73,22,11,1
7/9/2017,5,69,22,13,1
7/10/2017,5,62,26,12, 
7/11/2017,5,62,24,9, 
7/12/2017,5,69,27,15, 
7/13/2017,5,78,25,15, 
7/14/2017,5,72,34,12,1
7/15/2017,5,78,31,25,1
7/16/2017,5,86,32,15, 
7/17/2017,5,80,25,9, 
7/18/2017,5,76,21,10,1
7/19/2017,5,61,17,10, 
7/20/2017,5,61,16,6, 
7/21/2017,5,56,17,3,2
7/22/2017,5,66,20,11,1
7/23/2017,5,71,25,9,1
7/24/2017,5,80,27,9,2
7/25/2017,5,84,24,15,2
7/26/2017,5,73,29,11,2
7/27/2017,5,77,19,5,4
7/28/2017,5,58,12,5,3
7/29/2017,5,44,15,11,2
7/30/2017,5,47,19,15,2
7/31/2017,5,67,14,11,3
8/1/2017,5,66,17,9, 
8/2/2017,5,68,22,12, 
8/3/2017,5,72,18,8, 
8/4/2017,5,60,16,5, 
8/5/2017,5,62,19,17,1
8/6/2017,5,76,23,17,3
8/7/2017,5,78,20,10, 
8/8/2017,5,72,18,9, 
8/9/2017,5,67,17,9, 
8/10/2017,5,66,23,8, 
8/11/2017,5,82,22,5, 
8/12/2017,5,78,24,10, 
8/13/2017,5,82,32,10, 
8/14/2017,5,74,23,9, 
8/15/2017,5,63,22,9, 
8/16/2017,5,67,23,16, 
8/17/2017,5,78,19,13, 
8/18/2017,5,71,15,9,1
8/19/2017,5,65,18,17,2
8/20/2017,5,68,20,10, 
8/21/2017,5,71,18,7, 
8/22/2017,5,62,19,7, 
8/23/2017,5,63,20,12, 
8/24/2017,5,72,17,16, 
8/25/2017,5,66,17,4, 
8/26/2017,5,62,17,10, 
8/27/2017,5,60,19,9, 
8/28/2017,5,64,18,10, 
8/29/2017,5,65,16,16, 
8/30/2017,5,60,15,19, 
8/31/2017,5,66,19,6, 
9/1/2017,5,69,18,6, 
9/2/2017,5,66,18,17,2
9/3/2017,5,67,15,9, 
9/4/2017,5,61,18,11, 
9/5/2017,5,64,19,4, 
9/6/2017,5,62, , , 
9/10/2017,5, ,31,21,2
9/11/2017,5,66,36,24,1
9/12/2017,5,74,38,13, 
9/13/2017,5,67,45,13, 
9/14/2017,5,68,26,6, 
9/15/2017,5,63,25,5, 
9/16/2017,5,65,30,12, 
9/17/2017,5,74,27,20, 
9/18/2017,5,74,33,14, 
9/19/2017,5,79,33,13, 
9/20/2017,5,81,33,4, 
9/21/2017,5,72,21,3, 
9/22/2017,5,49,14,5, 
9/23/2017,5,40,22,16,1
9/24/2017,5,53,28,23,1
9/25/2017,5,64,23,12, 
9/26/2017,5,53,16,11, 
