date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,6,49,23,26, 
1/2/2017,6,43,31,35, 
1/3/2017,6,59,28,33, 
1/4/2017,6,63,25,41, 
1/5/2017,6,49,36,29, 
1/6/2017,6,56,35,13, 
1/7/2017,6,65,86,17, 
1/8/2017,6,71, ,20, 
1/9/2017,6,70, ,37, 
1/10/2017,6,71, ,38, 
1/11/2017,6,58,51,32, 
1/12/2017,6,75,24,20, 
1/13/2017,6,47,24,16, 
1/14/2017,6,45,34,32, 
1/15/2017,6,84,27,29, 
1/16/2017,6,59,77,34, 
1/17/2017,6,86,64,40, 
1/18/2017,6,88,43,38, 
1/19/2017,6,80,25,29, 
1/20/2017,6,63,13,15, 
1/21/2017,6,32,25,37, 
1/22/2017,6,56,27,30, 
1/23/2017,6,50,35,33, 
1/24/2017,6,46,60,25, 
1/25/2017,6,78,30,21, 
1/26/2017,6,40,17,10, 
1/27/2017,6,50,15,10, 
1/28/2017,6,49,28,32, 
1/29/2017,6,65,31,32, 
1/30/2017,6,69,20,25, 
1/31/2017,6,61,20,27, 
2/1/2017,6,55,26,32, 
2/2/2017,6,59,30,35, 
2/3/2017,6,70,27,18, 
2/4/2017,6,61,39,36, 
2/5/2017,6,69,35,34, 
2/6/2017,6,79,48,30, 
2/7/2017,6,82,78,31, 
2/8/2017,6,98,54,42, 
2/9/2017,6,102,60,24, 
2/10/2017,6,84,54,24, 
2/11/2017,6,91,24,27, 
2/12/2017,6,55,19,21, 
2/13/2017,6,48,12,20, 
2/14/2017,6,44,11,26, 
2/15/2017,6,33,9,21, 
2/16/2017,6,37,18,23, 
2/17/2017,6,51,21,18, 
2/18/2017,6,56,29,23, 
2/19/2017,6,54,35,30, 
2/20/2017,6,54,39,42, 
2/21/2017,6,76,48,41, 
2/22/2017,6,92,46,46, 
2/23/2017,6,85,55,34, 
2/24/2017,6,84,42,19, 
2/25/2017,6,64,45,36, 
2/26/2017,6,65,51,42, 
2/27/2017,6,74,65,40, 
2/28/2017,6,83,83,33, 
3/1/2017,6,103,64,21, 
3/2/2017,6,91,24,14, 
3/3/2017,6,41,16,17, 
3/4/2017,6,45,29,37, 
3/5/2017,6,72,33,28, 
3/6/2017,6,71,38,34, 
3/7/2017,6,80,34,37, 
3/8/2017,6,79,37,47, 
3/9/2017,6,66,51,27, 
3/10/2017,6,92,113,9, 
3/11/2017,6,106,141,22, 
3/12/2017,6,108,80,17, 
3/13/2017,6,92,27,26, 
3/14/2017,6,48,22,23, 
3/15/2017,6,46,18,23, 
3/16/2017,6,46,28,17, 
3/17/2017,6,66,38,20, 
3/18/2017,6,68,30,18, 
3/19/2017,6,58,24,22, 
3/20/2017,6,51,110,25, 
3/21/2017,6,81,49,42, 
