date, pm25, pm10, no2, so2,Air_quality_Code,,,,,
1/1/2017,,,,,7,,,,, 
1/2/2017,,,,,7,,,,, 
1/3/2017,,,,,7,,,,, 
1/4/2017,,,,,7,,,,, 
1/5/2017,,,,,7,,,,, 
1/6/2017,,,,,7,,,,, 
1/7/2017,,,,,7,,,,, 
1/8/2017,,,,,7,,,,, 
1/9/2017,,,,,7,,,,, 
1/10/2017,,,,,7,,,,, 
1/11/2017,,,,,7,,,,, 
1/12/2017,,,,,7,,,,, 
1/13/2017,,,,,7,,,,, 
1/14/2017,,,,,7,,,,, 
1/15/2017,,,,,7,,,,, 
1/16/2017,,,,,7,,,,, 
1/17/2017,,,,,7,,,,, 
1/18/2017,,,,,7,,,,, 
1/19/2017,,,,,7,,,,, 
1/20/2017,,,,,7,,,,, 
1/21/2017,,,,,7,,,,, 
1/22/2017,,,,,7,,,,, 
1/23/2017,,,,,7,,,,, 
1/24/2017,,,,,7,,,,, 
1/25/2017,,,,,7,,,,, 
1/26/2017,,,,,7,,,,, 
1/27/2017,,,,,7,,,,, 
1/28/2017,,,,,7,,,,, 
1/29/2017,,,,,7,,,,, 
1/30/2017,,,,,7,,,,, 
1/31/2017,,,,,7,,,,, 
2/1/2017,,,,,7,,,,, 
2/2/2017,,,,,7,,,,, 
2/3/2017,,,,,7,,,,, 
2/4/2017,,,,,7,,,,, 
2/5/2017,,,,,7,,,,, 
2/6/2017,,,,,7,,,,, 
2/7/2017,,,,,7,,,,, 
2/8/2017,,,,,7,,,,, 
2/9/2017,,,,,7,,,,, 
2/10/2017,,,,,7,,,,, 
2/11/2017,,,,,7,,,,, 
2/12/2017,,,,,7,,,,, 
2/13/2017,,,,,7,,,,, 
2/14/2017,,,,,7,,,,, 
2/15/2017,,,,,7,,,,, 
2/16/2017,,,,,7,,,,, 
2/17/2017,,,,,7,,,,, 
2/18/2017,,,,,7,,,,, 
2/19/2017,,,,,7,,,,, 
2/20/2017,,,,,7,,,,, 
2/21/2017,,,,,7,,,,, 
2/22/2017,,,,,7,,,,, 
2/23/2017,,,,,7,,,,, 
2/24/2017,,,,,7,,,,, 
2/25/2017,,,,,7,,,,, 
2/26/2017,,,,,7,,,,, 
2/27/2017,,,,,7,,,,, 
2/28/2017,,,,,7,,,,, 
3/1/2017,,,,,7,,,,, 
3/2/2017,,,,,7,,,,, 
3/3/2017,,,,,7,,,,, 
3/4/2017,,,,,7,,,,, 
3/5/2017,,,,,7,,,,, 
3/6/2017,,,,,7,,,,, 
3/7/2017,,,,,7,,,,, 
3/8/2017,,,,,7,,,,, 
3/9/2017,,,,,7,,,,, 
3/10/2017,,,,,7,,,,, 
3/11/2017,,,,,7,,,,, 
3/12/2017,,,,,7,,,,, 
3/13/2017,,,,,7,,,,, 
3/14/2017,,,,,7,,,,, 
3/15/2017,,,,,7,,,,, 
3/16/2017,,,,,7,,,,, 
3/17/2017,,,,,7,,,,, 
3/18/2017,,,,,7,,,,, 
3/19/2017,,,,,7,,,,, 
3/20/2017,,,,,7,,,,, 
3/21/2017,,,,,7,,,,, 
3/22/2017,,,,,7,,,,, 
3/23/2017,,,,,7,,,,, 
3/24/2017,,,,,7,,,,, 
3/25/2017,,,,,7,,,,, 
3/26/2017,,,,,7,,,,, 
3/27/2017,,,,,7,,,,, 
3/28/2017,,,,,7,,,,, 
3/29/2017,,,,,7,,,,, 
3/30/2017,,,,,7,,,,, 
3/31/2017,,,,,7,,,,, 
4/1/2017,,,,,7,,,,, 
4/2/2017,,,,,7,,,,, 
4/3/2017,,,,,7,,,,, 
4/4/2017,,,,,7,,,,, 
4/5/2017,,,,,7,,,,, 
4/6/2017,,,,,7,,,,, 
4/7/2017,,,,,7,,,,, 
4/8/2017,,,,,7,,,,, 
4/9/2017,,,,,7,,,,, 
4/10/2017,,,,,7,,,,, 
4/11/2017,,,,,7,,,,, 
4/12/2017,,,,,7,,,,, 
4/13/2017,,,,,7,,,,, 
4/14/2017,,,,,7,,,,, 
4/15/2017,,,,,7,,,,, 
4/16/2017,,,,,7,,,,, 
4/17/2017,,,,,7,,,,, 
4/18/2017,,,,,7,,,,, 
4/19/2017,,,,,7,,,,, 
4/20/2017,,,,,7,,,,, 
4/21/2017,,,,,7,,,,, 
4/22/2017,,,,,7,,,,, 
4/23/2017,,,,,7,,,,, 
4/24/2017,,,,,7,,,,, 
4/25/2017,,,,,7,,,,, 
4/26/2017,,,,,7,,,,, 
4/27/2017,,,,,7,,,,, 
4/28/2017,,,,,7,,,,, 
4/29/2017,,,,,7,,,,, 
4/30/2017,,,,,7,,,,, 
5/1/2017,,,,,7,,,,, 
5/2/2017,,,,,7,,,,, 
5/3/2017,,,,,7,,,,, 
5/4/2017,,,,,7,,,,, 
5/5/2017,,,,,7,,,,, 
5/6/2017,,,,,7,,,,, 
5/7/2017,,,,,7,,,,, 
5/8/2017,,,,,7,,,,, 
5/9/2017,,,,,7,,,,, 
5/10/2017,,,,,7,,,,, 
5/11/2017,,,,,7,,,,, 
5/12/2017,,,,,7,,,,, 
5/13/2017,,,,,7,,,,, 
5/14/2017,,,,,7,,,,, 
5/15/2017,,,,,7,,,,, 
5/16/2017,,,,,7,,,,, 
5/17/2017,,,,,7,,,,, 
5/18/2017,,,,,7,,,,, 
5/19/2017,,,,,7,,,,, 
5/20/2017,,,,,7,,,,, 
5/21/2017,,,,,7,,,,, 
5/22/2017,,,,,7,,,,, 
5/23/2017,,,,,7,,,,, 
5/24/2017,,,,,7,,,,, 
5/25/2017,,,,,7,,,,, 
5/26/2017,,,,,7,,,,, 
5/27/2017,,,,,7,,,,, 
5/28/2017,,,,,7,,,,, 
5/29/2017,,,,,7,,,,, 
5/30/2017,,,,,7,,,,, 
5/31/2017,,,,,7,,,,, 
6/1/2017,,,,,7,,,,, 
6/2/2017,,,,,7,,,,, 
6/3/2017,,,,,7,,,,, 
6/4/2017,,,,,7,,,,, 
6/5/2017,,,,,7,,,,, 
6/6/2017,,,,,7,,,,, 
6/7/2017,,,,,7,,,,, 
6/8/2017,,,,,7,,,,, 
6/9/2017,,,,,7,,,,, 
6/10/2017,,,,,7,,,,, 
6/11/2017,,,,,7,,,,, 
6/12/2017,,,,,7,,,,, 
6/13/2017,,,,,7,,,,, 
6/14/2017,,,,,7,,,,, 
6/15/2017,,,,,7,,,,, 
6/16/2017,,,,,7,,,,, 
6/17/2017,,,,,7,,,,, 
6/18/2017,,,,,7,,,,, 
6/19/2017,,,,,7,,,,, 
6/20/2017,,,,,7,,,,, 
6/21/2017,,,,,7,,,,, 
6/22/2017,,,,,7,,,,, 
6/23/2017,,,,,7,,,,, 
6/24/2017,,,,,7,,,,, 
6/25/2017,,,,,7,,,,, 
6/26/2017,,,,,7,,,,, 
6/27/2017,,,,,7,,,,, 
6/28/2017,,,,,7,,,,, 
6/29/2017,,,,,7,,,,, 
6/30/2017,,,,,7,,,,, 
7/1/2017,,,,,7,,,,, 
7/2/2017,,,,,7,,,,, 
7/3/2017,,,,,7,,,,, 
7/4/2017,,,,,7,,,,, 
7/5/2017,,,,,7,,,,, 
7/6/2017,,,,,7,,,,, 
7/7/2017,,,,,7,,,,, 
7/8/2017,,,,,7,,,,, 
7/9/2017,,,,,7,,,,, 
7/10/2017,,,,,7,,,,, 
7/11/2017,,,,,7,,,,, 
7/12/2017,,,,,7,,,,, 
7/13/2017,,,,,7,,,,, 
7/14/2017,,,,,7,,,,, 
7/15/2017,,,,,7,,,,, 
7/16/2017,,,,,7,,,,, 
7/17/2017,,,,,7,,,,, 
7/18/2017,,,,,7,,,,, 
7/19/2017,,,,,7,,,,, 
7/20/2017,,,,,7,,,,, 
7/21/2017,,,,,7,,,,, 
7/22/2017,,,,,7,,,,, 
7/23/2017,,,,,7,,,,, 
7/24/2017,,,,,7,,,,, 
7/25/2017,,,,,7,,,,, 
7/26/2017,,,,,7,,,,, 
7/27/2017,,,,,7,,,,, 
7/28/2017,,,,,7,,,,, 
