date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,8, , ,20,1
1/2/2017,8, , ,21,1
1/3/2017,8, ,10,25,1
1/4/2017,8,44,16,22,1
1/5/2017,8,60,17,22,1
1/6/2017,8,63,19,12,2
1/7/2017,8,69,11,7,2
1/8/2017,8,64, ,10,1
1/9/2017,8,79, ,14,1
1/10/2017,8,69, ,26,1
1/11/2017,8,81, ,24,3
1/12/2017,8,69, ,19,3
1/13/2017,8,59, ,15,1
1/14/2017,8,59, ,9, 
1/15/2017,8,58, ,17,1
1/16/2017,8,82, ,11,1
1/17/2017,8,84, ,15,3
1/18/2017,8,104, ,22,2
1/19/2017,8,103, ,21,1
1/20/2017,8,85, ,16,1
1/21/2017,8,54, ,8, 
1/22/2017,8,59, ,19,2
1/23/2017,8,65, ,21,3
1/24/2017,8,52, ,20,3
1/25/2017,8,71, ,17,2
1/26/2017,8,37, ,12, 
1/27/2017,8,40, ,3, 
1/28/2017,8,32, ,2, 
1/29/2017,8,43, ,18,2
1/30/2017,8,71, ,19,3
1/31/2017,8,56, ,19,1
2/1/2017,8,56, ,12,1
2/2/2017,8,57, ,19,2
2/3/2017,8,70, ,16,2
2/4/2017,8,74, ,8,2
2/5/2017,8,75, ,21,3
2/6/2017,8,95, ,23,1
2/7/2017,8,73, ,13,2
2/8/2017,8,87, ,17,3
2/9/2017,8,111, ,17,2
2/10/2017,8,90, ,8,2
2/11/2017,8,101, ,8,2
2/12/2017,8,63, ,21,1
2/13/2017,8,58, ,17, 
2/14/2017,8,48, ,15, 
2/15/2017,8,38, ,13,1
2/16/2017,8,42, ,16,1
2/17/2017,8,58, ,11,1
2/18/2017,8,61, ,9,1
2/19/2017,8,58, ,13,2
2/20/2017,8,52, ,19,3
2/21/2017,8,78, ,23,2
2/22/2017,8,91, ,28,4
2/23/2017,8,106, ,21,2
2/24/2017,8,75, ,12,1
2/25/2017,8,92, ,10,2
2/26/2017,8,104, ,24,4
2/27/2017,8,119, ,24,2
2/28/2017,8,72, ,15,2
3/1/2017,8,130, ,14,1
3/2/2017,8,86, ,10,1
3/3/2017,8,42, ,7, 
3/4/2017,8,31, ,7, 
3/5/2017,8,56, ,16,1
3/6/2017,8,54, ,12,1
3/7/2017,8,91, ,20,1
3/8/2017,8,77, ,18,2
3/9/2017,8,59, ,16,1
3/10/2017,8,77, ,9,1
3/11/2017,8,70, ,11,1
3/12/2017,8, , ,13, 
3/13/2017,8, , ,9, 
3/14/2017,8, , ,16,1
3/15/2017,8,19, ,11, 
3/16/2017,8,29, ,10, 
3/17/2017,8,55, ,11, 
3/18/2017,8,48, ,6,1
3/19/2017,8,29, ,9, 
3/20/2017,8,37, ,9, 
3/21/2017,8,58, ,15,1
3/22/2017,8,90, ,19,1
3/23/2017,8,89, ,14,1
3/24/2017,8,40, ,5,1
3/25/2017,8,42, ,5, 
3/26/2017,8,54, ,16,1
3/27/2017,8,63, ,18,1
3/28/2017,8,66, ,15,1
3/29/2017,8,65, ,18,1
3/30/2017,8,64, ,12,1
3/31/2017,8,78, ,10,1
4/1/2017,8,56, , , 
4/2/2017,8,34, ,9, 
4/3/2017,8,41, ,16,1
4/4/2017,8,55, ,10,1
4/5/2017,8,50, ,16,1
4/6/2017,8,63, ,7, 
4/7/2017,8,39, ,3, 
4/8/2017,8,58, ,14,1
4/9/2017,8,48, ,11,1
4/10/2017,8,43, ,11,3
4/11/2017,8,53, ,16,1
4/12/2017,8,97, ,7, 
4/13/2017,8,65, ,3, 
4/14/2017,8,45, ,3, 
4/15/2017,8,65, ,6, 
4/16/2017,8,62, ,5,1
4/17/2017,8,60, ,17,1
4/18/2017,8,58, ,16,1
4/19/2017,8,68, ,12,1
4/20/2017,8,57, ,18,2
4/21/2017,8,78, ,9,1
4/22/2017,8,65, ,7, 
4/23/2017,8,54, ,10, 
4/24/2017,8,52, ,12,1
4/25/2017,8,62, ,17,2
4/26/2017,8,77, ,10, 
4/27/2017,8,62, ,7, 
4/28/2017,8,63, ,4, 
4/29/2017,8,71, ,13,1
4/30/2017,8,77, ,10,1
5/1/2017,8,81, ,3, 
5/2/2017,8,77, ,7, 
5/3/2017,8,73, ,8, 
5/4/2017,8,67, ,6, 
5/5/2017,8,69, ,4, 
5/6/2017,8,69, ,9, 
5/7/2017,8,76, ,16,2
5/8/2017,8,76, ,30,2
5/9/2017,8,66, ,22,2
5/10/2017,8, , ,5, 
5/11/2017,8, , ,6, 
5/12/2017,8, , ,3, 
5/13/2017,8, , ,18,1
5/14/2017,8, , ,12,1
5/15/2017,8, , ,8,1
5/16/2017,8, , ,11,2
5/17/2017,8, , ,4,2
5/18/2017,8, , ,2,2
5/19/2017,8, , ,2,2
5/20/2017,8, , ,1,2
5/23/2017,8, , ,6,1
5/24/2017,8,55, ,10,3
5/25/2017,8,70, ,4, 
5/26/2017,8,50, ,8,1
5/27/2017,8,75, ,5,1
5/28/2017,8,54, ,9,2
5/29/2017,8,72, ,6, 
5/30/2017,8,61, ,2,1
5/31/2017,8,59, ,3, 
6/1/2017,8,63, ,3, 
6/2/2017,8,73, ,1, 
6/3/2017,8,78, ,5, 
6/4/2017,8,86, ,5, 
6/5/2017,8,86, ,9, 
6/6/2017,8,87, ,9,1
6/7/2017,8,93, ,3,1
6/8/2017,8,85, ,4, 
6/9/2017,8,87, ,1, 
6/10/2017,8,95, ,3, 
6/11/2017,8,71, ,3, 
6/12/2017,8,76, ,4, 
6/13/2017,8,75, ,7,2
6/14/2017,8,81, ,3, 
6/15/2017,8,86, ,4, 
6/16/2017,8,76, ,2, 
6/17/2017,8,85, ,4, 
6/18/2017,8,88, ,7,2
6/19/2017,8,87, ,1, 
6/20/2017,8,72, ,4, 
6/21/2017,8,77, ,4, 
6/22/2017,8,80, ,4, 
6/23/2017,8,76, ,2, 
6/24/2017,8,72, ,3, 
6/25/2017,8,81, ,3, 
6/26/2017,8,86, ,5, 
6/27/2017,8,89, ,7, 
6/28/2017,8,94, ,5, 
6/29/2017,8,81, ,10, 
6/30/2017,8,88, ,14, 
7/1/2017,8,97, ,7,1
7/2/2017,8,98, ,8, 
7/3/2017,8,94, ,9,1
7/4/2017,8,92, ,4, 
7/5/2017,8,86, ,3, 
7/6/2017,8,77, ,3, 
7/7/2017,8,82, ,4, 
7/8/2017,8,89, ,3, 
7/9/2017,8,84, ,5,1
7/10/2017,8,77, ,4, 
7/11/2017,8,73, ,3, 
7/12/2017,8,78, ,2, 
7/13/2017,8,82, ,4,1
7/14/2017,8,81, ,3,2
7/15/2017,8,94, ,8,1
7/16/2017,8,100, ,7, 
7/17/2017,8,99, ,5, 
7/18/2017,8,91, ,5, 
7/19/2017,8,91, ,3, 
7/20/2017,8,82, ,1, 
7/21/2017,8,79, ,3, 
7/22/2017,8,93, ,2, 
7/23/2017,8,99, ,4, 
7/24/2017,8,101, ,3, 
