date, pm25, pm10, no2, so2,Air_quality_Code
1/1/2017,56,15,44,1,9
1/2/2017,54,14,47,2,9
1/3/2017,48,18,47,2,9
1/4/2017,52,14,49,2,9
1/5/2017,57,32,51,2,9
1/6/2017,80,24,30,3,9
1/7/2017,70,42,28,2,9
1/8/2017,82,49,29,1,9
1/9/2017,82,38,45,2,9
1/10/2017,76,36,41,2,9
1/11/2017,82,39,43,2,9
1/12/2017,79,25,33,1,9
1/13/2017,61,20,25,1,9
1/14/2017,61,17,35,2,9
1/15/2017,61,30,38,2,9
1/16/2017,110,48,46,3,9
1/17/2017,94,48,47,3,9
1/18/2017,129,30,35,2,9
1/19/2017,83,20,31,2,9
1/20/2017,76,21,24, ,9
1/21/2017,48,18,37,2,9
1/22/2017,63,27,47,2,9
1/23/2017,77,44,60,2,9
1/24/2017,70,45,41,1,9
1/25/2017,85,26,38,1,9
1/26/2017,56,38,12,1,9
1/27/2017,50,25,8,1,9
1/28/2017,40,14,34,1,9
1/29/2017,57,22,48,2,9
1/30/2017,68,16,40,1,9
1/31/2017,56,11,23,1,9
2/1/2017,50,19,34,1,9
2/2/2017,62,15,25,2,9
2/3/2017,65,20,30,1,9
2/4/2017,69,28,45,2,9
2/5/2017,75,21,38,1,9
2/6/2017,83,21,59,1,9
2/7/2017,76,38,56,2,9
2/8/2017,92,24,45,1,9
2/9/2017,81,28,32,1,9
2/10/2017,83,28,25,1,9
2/11/2017,93,21,39,1,9
2/12/2017,61,20,37,1,9
2/13/2017,52,15,37,1,9
2/14/2017,51,18,34,1,9
2/15/2017,43,10,31,1,9
2/16/2017,39,17,29,1,9
2/17/2017,52,15,22,2,9
2/18/2017,58,31,52,2,9
2/19/2017,69,30,60,2,9
2/20/2017,68,28,51,2,9
2/21/2017,68,27,52,2,9
2/22/2017,80,26,36,2,9
2/23/2017,70,22,25,1,9
2/24/2017,72,30,26,1,9
2/25/2017,86,38,43,2,9
2/26/2017,89,34,35,1,9
2/27/2017,95,37,40,2,9
2/28/2017,100,65,30,1,9
3/1/2017,129,35,28,1,9
3/2/2017,91,24,24,1,9
3/3/2017,53,12,19,1,9
3/4/2017,44,16,32,1,9
3/5/2017,55,16,32,1,9
3/6/2017,65,23,32,1,9
3/7/2017,69,20,38,1,9
3/8/2017,63,26,41,1,9
3/9/2017,69,35,23,1,9
3/10/2017,75,60,22,1,9
3/11/2017,107,62,39,1,9
3/12/2017,104,25,31,1,9
3/13/2017,53,17,33,1,9
3/14/2017,50,24,31,1,9
3/15/2017,51,16,36,1,9
3/16/2017,45,18,26,1,9
3/17/2017,61,24,16,1,9
3/18/2017,67,13,30,1,9
3/19/2017,41,17,32,1,9
3/20/2017,57,17,38,1,9
3/21/2017,62,29,32,1,9
3/22/2017,88,17,25,1,9
3/23/2017,82,15,16,1,9
3/24/2017,64,13,18,1,9
3/25/2017,56,15,31,1,9
3/26/2017,62,16,36,1,9
