Date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,9,56,15,44,1
1/2/2017,9,54,14,47,2
1/3/2017,9,48,18,47,2
1/4/2017,9,52,14,49,2
1/5/2017,9,57,32,51,2
1/6/2017,9,80,24,30,3
1/7/2017,9,70,42,28,2
1/8/2017,9,82,49,29,1
1/9/2017,9,82,38,45,2
1/10/2017,9,76,36,41,2
1/11/2017,9,82,39,43,2
1/12/2017,9,79,25,33,1
1/13/2017,9,61,20,25,1
1/14/2017,9,61,17,35,2
1/15/2017,9,61,30,38,2
1/16/2017,9,110,48,46,3
1/17/2017,9,94,48,47,3
1/18/2017,9,129,30,35,2
1/19/2017,9,83,20,31,2
1/20/2017,9,76,21,24, 
1/21/2017,9,48,18,37,2
1/22/2017,9,63,27,47,2
1/23/2017,9,77,44,60,2
1/24/2017,9,70,45,41,1
1/25/2017,9,85,26,38,1
1/26/2017,9,56,38,12,1
1/27/2017,9,50,25,8,1
1/28/2017,9,40,14,34,1
1/29/2017,9,57,22,48,2
1/30/2017,9,68,16,40,1
1/31/2017,9,56,11,23,1
2/1/2017,9,50,19,34,1
2/2/2017,9,62,15,25,2
2/3/2017,9,65,20,30,1
2/4/2017,9,69,28,45,2
2/5/2017,9,75,21,38,1
2/6/2017,9,83,21,59,1
2/7/2017,9,76,38,56,2
2/8/2017,9,92,24,45,1
2/9/2017,9,81,28,32,1
2/10/2017,9,83,28,25,1
2/11/2017,9,93,21,39,1
2/12/2017,9,61,20,37,1
2/13/2017,9,52,15,37,1
2/14/2017,9,51,18,34,1
2/15/2017,9,43,10,31,1
2/16/2017,9,39,17,29,1
2/17/2017,9,52,15,22,2
2/18/2017,9,58,31,52,2
2/19/2017,9,69,30,60,2
2/20/2017,9,68,28,51,2
2/21/2017,9,68,27,52,2
2/22/2017,9,80,26,36,2
2/23/2017,9,70,22,25,1
2/24/2017,9,72,30,26,1
2/25/2017,9,86,38,43,2
2/26/2017,9,89,34,35,1
2/27/2017,9,95,37,40,2
2/28/2017,9,100,65,30,1
3/1/2017,9,129,35,28,1
3/2/2017,9,91,24,24,1
3/3/2017,9,53,12,19,1
3/4/2017,9,44,16,32,1
3/5/2017,9,55,16,32,1
3/6/2017,9,65,23,32,1
3/7/2017,9,69,20,38,1
3/8/2017,9,63,26,41,1
3/9/2017,9,69,35,23,1
3/10/2017,9,75,60,22,1
3/11/2017,9,107,62,39,1
3/12/2017,9,104,25,31,1
3/13/2017,9,53,17,33,1
3/14/2017,9,50,24,31,1
3/15/2017,9,51,16,36,1
3/16/2017,9,45,18,26,1
3/17/2017,9,61,24,16,1
3/18/2017,9,67,13,30,1
3/19/2017,9,41,17,32,1
3/20/2017,9,57,17,38,1
3/21/2017,9,62,29,32,1
3/22/2017,9,88,17,25,1
3/23/2017,9,82,15,16,1
3/24/2017,9,64,13,18,1
3/25/2017,9,56,15,31,1
3/26/2017,9,62,16,36,1
3/27/2017,9,63,23,33,1
3/28/2017,9,68,27,33,1
3/29/2017,9,81,29,35,1
3/30/2017,9,85,28,24,1
3/31/2017,9,77,25,21,1
4/1/2017,9,62,17,39,1
4/2/2017,9,44,18,30,1
4/3/2017,9,53,18,34,1
4/4/2017,9,69,48,44,1
4/5/2017,9,74,36,47,2
4/6/2017,9,80,20,27,1
4/7/2017,9,58,20,19,1
4/8/2017,9,69,21,29,1
4/9/2017,9,58,16,17,2
4/10/2017,9,50,24,19,2
4/11/2017,9,68,50,44,1
4/12/2017,9,108,42,29,1
4/13/2017,9,86,25,25,1
4/14/2017,9,65,21,25,1
4/15/2017,9,71,22,24,1
4/16/2017,9,72,18,13,1
