Date,Temp_location_code,Temp_c
01/01/2017,301,15.9
02/01/2017,301,15.8
03/01/2017,301,17.3
04/01/2017,301,16.4
05/01/2017,301,18.4
06/01/2017,301,18.8
07/01/2017,301,17.6
08/01/2017,301,15.3
09/01/2017,301,14.8
10/01/2017,301,15.6
11/01/2017,301,18.2
12/01/2017,301,18.8
13/01/2017,301,18.1
14/01/2017,301,14.6
15/01/2017,301,17.3
16/01/2017,301,16.8
17/01/2017,301,20.4
18/01/2017,301,20.7
19/01/2017,301,18.2
20/01/2017,301,18
21/01/2017,301,18
22/01/2017,301,16.8
23/01/2017,301,18.8
24/01/2017,301,20.3
25/01/2017,301,20.1
26/01/2017,301,17.9
27/01/2017,301,16.3
28/01/2017,301,12.2
29/01/2017,301,13.6
30/01/2017,301,14.4
31/01/2017,301,16
01/02/2017,301,11.9
02/02/2017,301,13.7
03/02/2017,301,16.1
04/02/2017,301,17.6
05/02/2017,301,18.6
06/02/2017,301,18.2
07/02/2017,301,22.6
08/02/2017,301,20.2
09/02/2017,301,19.7
10/02/2017,301,20.8
11/02/2017,301,20.3
12/02/2017,301,16.8
13/02/2017,301,14.9
14/02/2017,301,14.7
15/02/2017,301,14.7
16/02/2017,301,13
17/02/2017,301,14
18/02/2017,301,15.9
19/02/2017,301,18
20/02/2017,301,19.9
21/02/2017,301,17.3
22/02/2017,301,16.9
23/02/2017,301,18.4
24/02/2017,301,19.4
25/02/2017,301,23.9
26/02/2017,301,23
27/02/2017,301,26
28/02/2017,301,23.6
01/03/2017,301,25.1
02/03/2017,301,20.7
03/03/2017,301,18
04/03/2017,301,17.9
05/03/2017,301,19.4
06/03/2017,301,23.1
07/03/2017,301,19.6
08/03/2017,301,20.2
09/03/2017,301,28.3
10/03/2017,301,22.6
11/03/2017,301,19.7
12/03/2017,301,22.6
13/03/2017,301,19.8
14/03/2017,301,18.6
15/03/2017,301,18.4
16/03/2017,301,17.7
17/03/2017,301,18.5
18/03/2017,301,20.5
19/03/2017,301,18.4
20/03/2017,301,19.4
21/03/2017,301,19.8
22/03/2017,301,21.4
23/03/2017,301,21.4
24/03/2017,301,20.7
25/03/2017,301,20.3
26/03/2017,301,21.3
27/03/2017,301,19.7
28/03/2017,301,20.4
29/03/2017,301,23.5
30/03/2017,301,28.3
31/03/2017,301,24.7
01/04/2017,301,21.5
02/04/2017,301,20.6
03/04/2017,301,20.6
04/04/2017,301,28.1
05/04/2017,301,32.1
06/04/2017,301,30.3
07/04/2017,301,22
08/04/2017,301,21.6
09/04/2017,301,20.3
10/04/2017,301,22.3
11/04/2017,301,25.4
12/04/2017,301,29.2
13/04/2017,301,29
14/04/2017,301,22.4
15/04/2017,301,23.1
16/04/2017,301,22.6
17/04/2017,301,23
18/04/2017,301,24.4
19/04/2017,301,23
20/04/2017,301,22.9
21/04/2017,301,35.3
22/04/2017,301,38.4
23/04/2017,301,23.6
24/04/2017,301,21.4
25/04/2017,301,23.1
26/04/2017,301,26.1
27/04/2017,301,24.4
28/04/2017,301,25.7
29/04/2017,301,23.5
30/04/2017,301,26.4
01/05/2017,301,26.8
02/05/2017,301,24.2
03/05/2017,301,24
04/05/2017,301,23.2
05/05/2017,301,23.2
06/05/2017,301,24.3
07/05/2017,301,27.2
08/05/2017,301,29.2
09/05/2017,301,39.2
10/05/2017,301,36.2
11/05/2017,301,25.1
12/05/2017,301,24.9
13/05/2017,301,25.8
14/05/2017,301,29.8
15/05/2017,301,33.1
16/05/2017,301,-
17/05/2017,301,26.9
18/05/2017,301,31.9
19/05/2017,301,26.7
20/05/2017,301,26.3
21/05/2017,301,25.5
22/05/2017,301,30.2
23/05/2017,301,26.9
24/05/2017,301,25.4
25/05/2017,301,26
26/05/2017,301,24.9
27/05/2017,301,32.5
28/05/2017,301,27.9
29/05/2017,301,29.4
30/05/2017,301,27.5
31/05/2017,301,26.1
01/06/2017,301,26.1
02/06/2017,301,28.2
03/06/2017,301,27.8
04/06/2017,301,27.3
05/06/2017,301,27.4
06/06/2017,301,27.3
07/06/2017,301,28.3
08/06/2017,301,30.5
09/06/2017,301,30.4
10/06/2017,301,29
11/06/2017,301,28.3
12/06/2017,301,27.6
13/06/2017,301,28
14/06/2017,301,29.5
15/06/2017,301,27.9
16/06/2017,301,28.4
17/06/2017,301,31.2
18/06/2017,301,29.5
19/06/2017,301,29.8
20/06/2017,301,29
21/06/2017,301,29.9
22/06/2017,301,28.7
23/06/2017,301,28.7
24/06/2017,301,30.1
25/06/2017,301,31.5
26/06/2017,301,31.1
27/06/2017,301,31.3
28/06/2017,301,32.1
29/06/2017,301,30.5
30/06/2017,301,32.2
01/07/2017,301,32.3
02/07/2017,301,32.1
03/07/2017,301,36.7
04/07/2017,301,36.6
05/07/2017,301,31.8
06/07/2017,301,30.7
07/07/2017,301,30.9
08/07/2017,301,32
09/07/2017,301,33.6
10/07/2017,301,32.7
11/07/2017,301,31.8
12/07/2017,301,31.9
13/07/2017,301,35.2
14/07/2017,301,34
15/07/2017,301,33
16/07/2017,301,32.6
17/07/2017,301,32
18/07/2017,301,31.6
19/07/2017,301,32.2
20/07/2017,301,30.9
21/07/2017,301,31.1
22/07/2017,301,31.4
23/07/2017,301,30.9
24/07/2017,301,31.7
25/07/2017,301,32.4
26/07/2017,301,32.5
27/07/2017,301,32.8
28/07/2017,301,32.3
29/07/2017,301,31.5
30/07/2017,301,30.9
31/07/2017,301,31.9
01/08/2017,301,32.8
02/08/2017,301,33.4
03/08/2017,301,32
04/08/2017,301,31.6
05/08/2017,301,32.3
06/08/2017,301,32.3
07/08/2017,301,32.5
