Date,Air_quality_Code, pm25, pm10, no2, so2
1/1/2017,10,42,14.8,9.8,2.5
1/2/2017,10,37,19.9,7.9,3
1/3/2017,10,38,19.8,10.8,2.6
1/4/2017,10,37,15.6,11.6,2.9
1/5/2017,10,39,18.8,10.4,3.2
1/6/2017,10,54,38.6,12.4,3.5
1/7/2017,10,51,73.4,21.5,4.3
1/8/2017,10,77,61.7,15.3,4.5
1/9/2017,10,78,68.2,10.4,2.4
1/10/2017,10,62,53.6,12.1,3.3
1/11/2017,10,59,53.5,16.5,4.6
1/12/2017,10,61,62.6,19.6,4.7
1/13/2017,10,51,17,15.6,2.2
1/14/2017,10,47,14.5,10.3,2.4
1/15/2017,10,47,24.7,14.5,2.9
1/16/2017,10,57,18.9,14.4,3.4
1/17/2017,10,66,70.2,9.2,5.5
1/18/2017,10,73,73.8,16.2,5.7
1/19/2017,10,73,44.3,12.8,4.6
1/20/2017,10,58,26.5,10.9,3.2
1/21/2017,10,33,16,6.7,2.4
1/22/2017,10,46,18.4,7.5,4.5
1/23/2017,10,55,20.5,6.5,5.1
1/24/2017,10,46,31.1,8.1,4
1/25/2017,10,67,46.9,6.7,3.4
1/26/2017,10,44,17.9,13.8,2
1/27/2017,10,39,14.1,5.3,1.9
1/28/2017,10,39,11.5,5.1,2.2
1/29/2017,10,37,18.2,6.9,3.2
1/30/2017,10,51,19.3,17.7,3.4
1/31/2017,10,31,9.8,23.6,2.4
2/1/2017,10,35,15.3,5.9,4.9
2/2/2017,10,44,19,6,5.7
2/3/2017,10,48,25.5,4.8,4.7
2/4/2017,10,56,22.7,4.3,4.6
2/5/2017,10,56,,6.9,5.8
2/6/2017,10,65,28.4,9.2,3.6
2/7/2017,10,57,47.1,18.1,5.3
2/8/2017,10,103,84.7,,3.9
2/9/2017,10,69,202,,3.3
2/10/2017,10,79,62.6,8.5,5.2
2/11/2017,10,86,72.9,7,6.8
2/12/2017,10,50,18.6,4.3,2.7
2/13/2017,10,36,17.4,4.4,2.3
2/14/2017,10,36,12,14.6,2.3
2/15/2017,10,42,10.4,24.9,2.3
2/16/2017,10,32,11.2,12.4,3.8
2/17/2017,10,46,16.2,7.7,4.4
2/18/2017,10,41,17.2,6.1,4
2/19/2017,10,51,20.2,17.1,5.3
2/20/2017,10,51,25.3,11.7,4.8
2/21/2017,10,54,30.8,4.5,5.7
2/22/2017,10,66,36.9,5.9,7.5
2/23/2017,10,61,39.4,5.7,6.1
2/24/2017,10,57,44,4.1,3.8
2/25/2017,10,70,49.7,2.3,4.3
2/26/2017,10,79,43.1,6.9,5.4
2/27/2017,10,86,,8.8,5.2
2/28/2017,10,81,53,11.4,4.9
3/1/2017,10,129,133.1,12.8,2.4
3/2/2017,10,83,74.7,12.1,2.5
3/3/2017,10,51,20.8,8.2,2.7
3/4/2017,10,32,8.2,2.5,2
3/5/2017,10,42,16.4,14,3.9
3/6/2017,10,46,18,8.6,3.5
3/7/2017,10,61,25.6,10.3,4.2
3/8/2017,10,52,25.5,12.7,3.5
3/9/2017,10,43,41.8,7,3.7
3/10/2017,10,77,121.5,8.3,3.6
3/11/2017,10, ,88.5,7.6,3.2
3/12/2017,10,133,183,9.8,2.9
3/13/2017,10,86,38.6,7.9,2.2
3/14/2017,10,45,19.8,10.8,2.1
3/15/2017,10,42,15.7,11.6,2.8
3/16/2017,10,35,12.4,10.4,2.1
3/17/2017,10,52,27.2,12.4,3.1
3/18/2017,10,59,38.3,21.5,2.8
3/19/2017,10,40,42.5,15.3,3.6
3/20/2017,10,48,22.8,10.4,2.5
3/21/2017,10,56,31.8,12.1,2.8
3/22/2017,10,66,31.8,16.5,3.7
3/23/2017,10,65,38.5,19.6,5.1
3/24/2017,10,52,27.6,15.6,4.8
3/25/2017,10,47,16.5,10.3,4.4
3/26/2017,10,52,21.5,14.5,3
3/27/2017,10,54,24.3,14.4,2.8
3/28/2017,10,53,25.5,9.2,2.3
3/29/2017,10,63,34.8,16.2,3.5
3/30/2017,10,64,45,12.8,3.3
3/31/2017,10,54,38.3,10.9,2.6
4/1/2017,10,57,32.2,6.7,2.4
4/2/2017,10,36,10.3,7.5,2.1
4/3/2017,10,47,18.4,6.5,2
4/4/2017,10,57,22.4,8.1,2.4
4/5/2017,10,58,84.4,6.7,3.8
4/6/2017,10,58,46.6,13.8,5.6
4/7/2017,10,57,27,5.3,2.5
4/8/2017,10,57,25,5.1,2.7
4/9/2017,10,55,20.7,6.9,2.2
4/10/2017,10,44,22.9,17.7,4
4/11/2017,10,58,44.7,23.6,5.4
4/12/2017,10,94,137.4,5.9,3.2
4/13/2017,10,88,84.6,6,2.3
4/14/2017,10,58,27,4.8,2.3
4/15/2017,10,65,29.6,4.3,2.3
4/16/2017,10,68,29.1,6.9,2.1
4/17/2017,10,55,24.4,9.2,3.1
4/18/2017,10,41,24,18.1,4.8
4/19/2017,10,51,,,
4/20/2017,10,46,,,
4/21/2017,10,61,48.4,8.5,3.1
4/22/2017,10,76,113.8,7,3.1
4/23/2017,10,54,35.2,4.3,2.3
4/24/2017,10,39,21.4,4.4,2.2
4/25/2017,10,51,25.5,14.6,3.5
4/26/2017,10,61,70.1,24.9,4.1
4/27/2017,10,52,42.1,12.4,4
4/28/2017,10,45,28.9,7.7,2.9
4/29/2017,10,60,37.3,6.1,2.3
4/30/2017,10,64,72.2,17.1,4.1
5/1/2017,10,79,71.6,11.7,3.8
5/2/2017,10,76,59.9,4.5,2.3
5/3/2017,10,65,46.7,5.9,1.9
5/4/2017,10,68,50,5.7,1.8
5/5/2017,10,70,38.7,4.1,1.9
5/6/2017,10,67,36.7,2.3,1.8
5/7/2017,10,75,34.7,6.9,2.3
5/8/2017,10,50,28,8.8,2.7
5/9/2017,10,55,47.8,9.6,3.5
5/10/2017,10,70,73.1,14.5,4.8
5/11/2017,10,55,34.7,7.4,2.7
5/12/2017,10,53,31.2,8.2,2.3
5/13/2017,10,54,32.6,17.8,3.3
5/14/2017,10,69,,15.9,3.3
5/15/2017,10,85,54.6,11.2,3.7
5/16/2017,10,65,39.9,7,2.2
5/17/2017,10,78,31.7,16,2.9
5/18/2017,10,47,41.4,29.2,5.6
5/19/2017,10,49,36.5,21,2.7
5/20/2017,10,37,19.2,2.4,1.8
5/21/2017,10,33,26,6.6,2.2
5/22/2017,10,50,29.7,10.9,3.8
5/23/2017,10,53,28,6.4,2.1
5/24/2017,10,48,19.9,8.1,0.8
5/25/2017,10,50,29.2,15.9,0.1
5/26/2017,10,44,20.2,7.1,0.2
5/27/2017,10,48,27.7,7.6,0.4
5/28/2017,10,48,32.9,12.1,0.4
5/29/2017,10,51,31.1,15.6,0.3
5/30/2017,10,40,16.8,8.7,0.4
5/31/2017,10,30,12.4,6.7,0.4
6/1/2017,10,39,22.6,3.6,0.3
6/2/2017,10,52,25.5,3.5,0.2
6/3/2017,10,58,25,6.7,0.2
6/4/2017,10,59,31.4,20.2,0.3
6/5/2017,10,55,23.8,7.7,0.2
6/6/2017,10,52,20.9,7.7,0.2
6/7/2017,10,51,28.1,11.3,0.3
6/8/2017,10,69,33.2,16.6,0.3
6/9/2017,10,69,29.7,11.3,0.2
6/10/2017,10,66,32,2.4,0.2
6/11/2017,10,47,25.2,6.5,0.2
6/12/2017,10,49,28.1,5,0.2
6/13/2017,10,48,25.2,6.3,0.2
6/14/2017,10,51,33.8,6.4,0.2
6/15/2017,10,56,27.8,6.5,0.3
6/16/2017,10,48,24.6,8.8,0.4
6/17/2017,10,58,23.8,3,0.2
6/18/2017,10,62,24.8,6,0.2
6/19/2017,10,55,22.2,6.2,0.3
6/20/2017,10,46,19,4.5,0.2
6/21/2017,10,45,21.1,6.3,0.3
6/22/2017,10,62,20.9,4.8,0.3
6/23/2017,10,44,17.8,3.6,0.2
6/24/2017,10,46,16.6,4.2,0.3
6/25/2017,10,55,22.5,5.6,0.2
6/26/2017,10,68,26,7.6,0.3
6/27/2017,10,68,27.1,8.2,0.5
6/28/2017,10,67,26.3,5.6,0.3
6/29/2017,10,58,20.9,3.7,0.2
6/30/2017,10,64,31.2,4.3,0.2
7/1/2017,10,80,34.2,7.4,0.1
7/2/2017,10,72,42.6,15.9,0.4
7/3/2017,10,67,33.9,8.9,0.4
7/4/2017,10,69,31,8,0.5
7/5/2017,10,65,37.6,3.8,0.1
7/6/2017,10,56,28.6,4.7,0.2
7/7/2017,10,66,30.9,3.8,0.6
7/8/2017,10,65,29.5,2,0.5
7/9/2017,10,63,27.3,5,0.4
7/10/2017,10,52,26.5,9.9,0.8
7/11/2017,10,51,26.9,13.9,1.5
7/12/2017,10,63,28.9,5,0.7
7/13/2017,10,64,35.2,5.2,0.8
7/14/2017,10,59,29.2,6.9,1.1
7/15/2017,10,72,27,4.8,0.8
7/16/2017,10,63,36.5,9.9,1
7/17/2017,10,71,44.6,14.9,1.3
7/18/2017,10,64,37.4,12.8,1.2
7/19/2017,10,60,29,3.5,1.1
7/20/2017,10,49,26.3,4.8,0.7
7/21/2017,10,53,23.2,4.1,0.8
7/22/2017,10,64,26.5,2.4,1.1
7/23/2017,10,65,28.8,4.6,1
7/24/2017,10,69,34.9,4.5,1.1
7/25/2017,10,69,35.4,4.6,0.6
7/26/2017,10,67,32.4,13.8,0.7
7/27/2017,10,70,37.4,8.2,0.8
7/28/2017,10,51,28.7,2.3,0.4
7/29/2017,10,32,16.6,1.6,0.7
7/30/2017,10,36,20.7,5.5,1.5
7/31/2017,10,49,32.1,10.3,1.8
8/1/2017,10,54,31,9.2,1.7
8/2/2017,10,61,22.6,4.3,1.4
8/3/2017,10,66,31.4,4.7,1.1
8/4/2017,10,51,25.5,3.6,1
8/5/2017,10,51,23.1,4.3,1.3
8/6/2017,10,67,27.8,6.8,0.6
8/7/2017,10,72,36.7,15.2,0.3
8/8/2017,10,62,35.8,10.6,0.3
8/9/2017,10,62,31.9,5.1,
8/10/2017,10,60,22.7,3,0.1
8/11/2017,10,74,30.9,2.9,0.1
8/12/2017,10,72,30.8,,0.2
8/13/2017,10,80,36.6,3.4,0.1
8/14/2017,10,76,38,2.7,0.1
8/15/2017,10,62,30.5,1.6,0
8/16/2017,10,59,30.6,,0.1
8/17/2017,10,77,36.5,5.4,0.1
8/18/2017,10,67,29.2,4.6,0
8/19/2017,10,52,21.5,4,0
8/20/2017,10,54,30.8,10.4,0.3
8/21/2017,10,64,26.3,4.2,0
8/22/2017,10,54,26.4,4.4,0.1
8/23/2017,10,30,28.9,4.8,0.1
8/24/2017,10,66,30.3,7.4,0.1
8/25/2017,10,57,32.4,4.8,0.1
8/26/2017,10,57,25.3,3.5,0.1
8/27/2017,10,50,24.1,5.8,0.2
8/28/2017,10,51,28.6,5.8,0.1
8/29/2017,10,49,28.7,6.5,0.1
8/30/2017,10,80,25.3,5.4,0.1
8/31/2017,10,73,21.5,4.3,0.1
9/1/2017,10,58,27.7,3.2,0
9/2/2017,10,56,25.4,3.3,0.1
9/3/2017,10,75,29.5,18.9,0.8
9/4/2017,10,54,27.5,11.2,0.5
9/5/2017,10,52,27.3,5.8,0.1
9/6/2017,10,56,24.6,6.1,0
9/7/2017,10, ,28.3,6.2,0.1
9/8/2017,10,48,41.5,17.2,1.6
9/9/2017,10,56,37.2,26.5,1.5
9/10/2017,10,62,26.5,16,0.3
9/11/2017,10,57,32.1,17,0.3
9/12/2017,10,51,33.9,17,1.7
9/13/2017,10,53,46.6,18.5,1.5
9/14/2017,10,60,62.5,20.1,2.7
9/15/2017,10,69,31.5,5.1,0
9/16/2017,10,85,27,4.9,0.1
9/17/2017,10,68,31.4,10.1,0.1
9/18/2017,10,66,31.1,11.1,0.1
9/19/2017,10,48,35.2,11.4,0.4
9/20/2017,10,30,37,6.4,0.1
9/21/2017,10,36,31.8,3.4,0
9/22/2017,10,40,28.1,3.5,0
9/23/2017,10,45,23.7,2.4,0
9/24/2017,10,40,21.4,5.7,0.1
9/25/2017,10,42,28.8,7.4,0.2
9/26/2017,10,49,23.1,6.9,0.1
9/27/2017,10,51,16.4,5.3,0.1
9/28/2017,10,41,16.4,6.3,0
9/29/2017,10,49,18.7,4.3,0.2
9/30/2017,10,46,19.9,2.4,0
10/1/2017,10,46,16.4,11,0.3
10/2/2017,10,43,34.7,13.7,1.3
10/3/2017,10,48,24.7,7.8,0.2
10/4/2017,10, ,18.5,5.5,0
10/5/2017,10,100,17.7,7.5,0.4
10/6/2017,10,33,15.7,7.8,0.9
10/7/2017,10,34,23.2,13.3,2.1
10/8/2017,10,34,45.6,10.7,0.7
10/9/2017,10,33,15,9.7,-0.1
10/10/2017,10,41,17.2,12.2,0
10/11/2017,10,40,17.3,8,0.1
10/12/2017,10,40,15.2,6.3,0.2
10/13/2017,10,44,18.7,11.7,1.8
10/14/2017,10,42,14.8,4.1,0
10/15/2017,10,51,20.1,6.7,-0.1
10/16/2017,10,73,20.3,13.3,0.1
10/17/2017,10,60,21.9,17.5,2.2
10/18/2017,10,56,31.8,12.5,2.5
10/19/2017,10,50,63.9,16.1,3.2
10/20/2017,10,50,61.2,24.8,5.9
10/21/2017,10,48,28.5,4.6,1.7
10/22/2017,10,60,19.6,8,0.4
10/23/2017,10,56,23,12.8,0.6
10/24/2017,10,68,24.7,13,1.4
10/25/2017,10,46,20.8,14.5,2
10/26/2017,10,46,30.1,15.2,2.3
10/27/2017,10,52,50.4,9.6,2.3
10/28/2017,10,48,30.9,8.9,1.2
10/29/2017,10,34,35.1,11.1,0.9
10/30/2017,10,31,19.2,13.1,0.3
10/31/2017,10,29,20.6,10.5,0.6
11/1/2017,10,39,13.8,9.1,0.5
11/2/2017,10,40,14.3,9.3,0.5
11/3/2017,10,43,15.6,6.9,0.8
11/4/2017,10,48,16,6.6,0.7
11/5/2017,10,55,21.4,12.7,1.4
11/6/2017,10,43,16.8,10,1.4
11/7/2017,10,41,25.8,20,4.7
11/8/2017,10,41,35.1,10.5,5.1
11/9/2017,10,70,24.3,7.6,1
11/10/2017,10,111,19.3,7.3,0.9
11/11/2017,10,87,18.6,5.6,0.5
11/12/2017,10,90,56.5,8.7,2.1
11/13/2017,10,104,909.9,6.6,1.8
11/14/2017,10,98,260.1,15.9,1.9
11/15/2017,10,96,74.9,18.3,2.2
11/16/2017,10,81,92.1,15.3,2.7
11/17/2017,10,57,80.2,8.6,3.4
11/18/2017,10,38,68.3,6.1,8.9
11/19/2017,10, ,66.8,9.9,1.9
11/20/2017,10,43,34.4,11.8,1.5
11/21/2017,10,28,16.9,7.3,0.2
11/22/2017,10,39,10.6,7.7,0.4
11/23/2017,10,41,13.6,12.1,1.1
11/24/2017,10,49,17.6,13.5,1.5
11/25/2017,10,65,13.2,5.1,1.7
11/26/2017,10,43,56.7,11.8,3.6
11/27/2017,10,28,199,16.9,3.4
11/28/2017,10,62,117.6,15.3,2.2
11/29/2017,10,75,30.9,16.8,1.2
11/30/2017,10,59,16.2,10.2,0.7
12/1/2017,10,47,44.5,8.5,3.5
12/2/2017,10,65,52.4,4.6,2.1
12/3/2017,10,28,42.7,9.5,2.9
12/4/2017,10,27,36.6,12.4,3.8
