Date,Site_Code,Visitors_type,Quantity
1/1/2017,13,Israeli,21
1/1/2017,15,Israeli,19
1/1/2017,15,Tourist,9
1/1/2017,16,Israeli,84
1/1/2017,16,Tourist,3
1/1/2017,17,Israeli,251
1/1/2017,17,Tourist,79
1/1/2017,18,Israeli,788
1/1/2017,18,Tourist,713
1/1/2017,19,Israeli,160
1/1/2017,19,Tourist,137
1/1/2017,20,Israeli,296
1/1/2017,21,Israeli,2
1/1/2017,22,Israeli,26
1/1/2017,22,Tourist,8
1/1/2017,23,Israeli,176
1/1/2017,23,Tourist,154
1/1/2017,24,Israeli,375
1/1/2017,24,Tourist,13
1/1/2017,25,Israeli,30
1/1/2017,25,Tourist,157
1/1/2017,26,Israeli,42
1/1/2017,26,Tourist,5
1/1/2017,27,Israeli,47
1/1/2017,28,Israeli,180
1/1/2017,45,Israeli,118
1/1/2017,45,Tourist,156
1/1/2017,52,Israeli,8
1/1/2017,71,Israeli,32
1/1/2017,71,Tourist,4
1/1/2017,76,Israeli,20
1/1/2017,76,Tourist,29
1/1/2017,77,Israeli,225
1/1/2017,77,Tourist,375
1/1/2017,78,Israeli,79
1/1/2017,78,Tourist,6
1/1/2017,82,Israeli,70
1/1/2017,82,Tourist,191
1/1/2017,83,Israeli,18
1/1/2017,83,Tourist,47
1/1/2017,84,Israeli,127
1/1/2017,84,Tourist,56
1/1/2017,86,Israeli,115
1/1/2017,87,Israeli,84
1/1/2017,87,Tourist,4
1/1/2017,88,Israeli,745
1/1/2017,88,Tourist,921
1/1/2017,91,Israeli,64
1/1/2017,94,Israeli,66
1/1/2017,152,Israeli,635
1/1/2017,152,Tourist,90
1/1/2017,153,Israeli,406
1/1/2017,153,Tourist,2
1/1/2017,155,Israeli,33
1/1/2017,158,Israeli,216
1/1/2017,158,Tourist,24
1/1/2017,159,Israeli,715
1/1/2017,159,Tourist,54
1/1/2017,160,Israeli,159
1/1/2017,161,Israeli,118
1/1/2017,162,Israeli,185
1/1/2017,162,Tourist,10
1/1/2017,167,Israeli,6
1/1/2017,228,Israeli,206
1/1/2017,228,Tourist,30
1/1/2017,229,Israeli,219
1/1/2017,229,Tourist,1464
1/1/2017,230,Israeli,10
1/1/2017,230,Tourist,13
1/1/2017,244,Israeli,26
1/1/2017,244,Tourist,6
1/1/2017,245,Israeli,96
1/1/2017,247,Israeli,457
1/1/2017,247,Tourist,51
1/1/2017,253,Israeli,1257
1/1/2017,253,Tourist,636
1/1/2017,255,Israeli,345
1/1/2017,255,Tourist,25
1/1/2017,256,Israeli,38
1/1/2017,256,Tourist,8
1/1/2017,257,Israeli,12
1/1/2017,258,Israeli,1203
1/1/2017,258,Tourist,2306
1/1/2017,264,Israeli,39
1/1/2017,264,Tourist,15
1/1/2017,266,Israeli,41
1/1/2017,266,Tourist,50
1/1/2017,267,Israeli,37
1/1/2017,267,Tourist,33
1/1/2017,269,Israeli,372
1/1/2017,269,Tourist,257
1/1/2017,272,Israeli,57
1/1/2017,272,Tourist,70
1/1/2017,273,Israeli,123
1/1/2017,301,Israeli,230
1/1/2017,301,Tourist,141
1/1/2017,303,Israeli,186
1/1/2017,303,Tourist,27
1/2/2017,13,Israeli,10
1/2/2017,15,Israeli,12
1/2/2017,15,Tourist,23
1/2/2017,16,Israeli,30
1/2/2017,17,Israeli,28
1/2/2017,17,Tourist,4
1/2/2017,18,Israeli,142
1/2/2017,18,Tourist,450
1/2/2017,19,Israeli,46
1/2/2017,19,Tourist,147
1/2/2017,20,Israeli,107
1/2/2017,21,Israeli,2
1/2/2017,21,Tourist,45
1/2/2017,22,Tourist,2
1/2/2017,23,Israeli,32
